week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,12.2,0.6,6.1,1.0,0,57.2
2,14.9,2.5,7.3,13.5,0,65.4
3,13.7,1.5,6.9,23.5,0,68.9
4,14.1,2.0,6.9,8.5,0,63.6
5,18.6,0.6,8.2,88.5,0,62.6
6,15.2,-2.1,5.7,0.0,0,45.6
7,18.2,-0.2,9.3,8.5,0,62.3
8,18.2,2.8,9.7,2.5,0,58.3
9,17.9,1.9,9.1,4.5,0,60.6
10,17.8,5.2,8.7,20.0,0,69.4
11,21.4,1.3,11.4,49.5,0,71.3
12,23.7,2.3,12.3,1.0,0,51.4
13,24.6,0.7,11.0,60.0,1,63.7
14,22.3,3.5,11.6,31.0,0,68.3
15,20.2,6.3,12.1,7.5,0,56.6
16,22.5,5.4,12.1,224.0,0,69.6
17,24.2,5.3,13.2,16.5,0,66.4
18,26.9,8.0,17.1,17.5,0,72.6
19,28.4,11.0,18.5,22.5,0,72.1
20,28.7,13.8,21.3,24.5,0,66.4
21,26.5,10.7,16.7,61.0,0,88.1
22,27.9,12.9,21.0,10.0,0,74.0
23,29.9,17.4,22.9,11.0,0,79.0
24,31.6,19.1,24.2,56.5,0,81.9
25,32.6,17.1,22.9,54.5,0,78.9
26,30.9,17.6,22.4,75.0,0,89.0
27,30.8,20.0,24.7,72.0,0,82.4
28,32.5,19.9,25.8,61.0,0,86.9
29,29.3,17.4,21.2,73.5,0,94.0
30,31.9,21.6,25.3,74.5,0,91.9
31,31.8,20.4,25.2,5.5,0,84.4
32,35.4,22.3,28.5,0.0,0,76.1
33,37.3,24.9,30.5,22.0,0,75.6
34,36.5,23.2,29.3,38.0,0,75.3
35,35.0,23.0,29.1,0.0,0,76.0
36,35.1,21.9,27.3,47.0,0,84.6
37,34.2,20.0,26.9,34.5,0,83.3
38,33.4,20.8,24.6,3.5,0,81.3
39,27.7,17.6,20.2,33.5,0,88.7
40,27.4,14.7,20.8,1.0,0,73.1
41,24.8,13.8,18.0,162.0,0,85.0
42,26.7,11.3,17.7,24.5,0,78.7
43,22.1,10.5,16.0,17.5,0,72.4
44,22.9,9.0,15.7,0.0,0,61.1
45,23.6,9.1,14.7,9.5,0,70.3
46,20.3,6.2,12.8,0.0,0,56.1
47,24.9,8.5,16.9,0.0,0,66.3
48,20.9,7.5,12.0,5.0,0,67.9
49,14.9,4.4,8.6,11.5,0,76.3
50,17.2,4.7,10.2,0.0,0,69.7
51,13.1,-0.6,5.7,0.0,0,48.1
52,14.1,0.1,7.1,0.0,0,52.9
53,13.5,-0.2,6.9,1.5,0,60.0
