week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,-2.8,-11.4,-6.5,15.0,19,64.9
2,5.9,-11.4,-2.8,29.5,40,73.0
3,3.8,-10.9,-4.5,16.5,32,75.1
4,6.2,-7.9,-1.9,19.0,23,69.4
5,6.5,-10.8,-4.4,14.5,16,73.1
6,6.4,-10.6,-1.7,4.0,8,67.6
7,7.5,-6.0,0.2,38.5,20,71.6
8,4.7,-8.0,-2.9,21.5,31,65.6
9,9.8,-7.4,-0.9,44.0,44,74.4
10,9.4,-5.2,2.6,5.0,0,62.3
11,12.2,-0.7,3.4,19.0,6,70.3
12,14.9,0.8,7.4,8.0,0,62.0
13,18.3,1.9,8.8,9.0,0,65.7
14,14.3,-1.2,5.4,0.5,0,55.0
15,19.0,1.9,8.5,55.0,0,64.3
16,19.0,1.6,8.9,17.5,0,57.4
17,18.2,1.0,8.5,40.0,0,63.3
18,23.3,3.2,12.4,13.0,0,59.9
19,23.2,4.7,12.0,13.0,0,71.9
20,24.3,11.6,16.4,24.5,0,75.0
21,22.0,9.0,14.0,19.5,0,76.1
22,26.4,8.2,16.4,28.0,0,66.7
23,30.6,13.4,20.0,0.0,0,67.0
24,26.7,12.9,17.4,22.0,0,79.4
25,28.6,13.4,19.7,0.5,0,70.1
26,27.3,16.4,20.6,0.0,0,74.0
27,26.2,16.7,20.4,7.0,0,80.4
28,34.3,18.1,24.6,0.0,0,71.1
29,35.0,21.4,26.2,0.0,0,72.7
30,35.1,20.3,26.9,0.5,0,70.1
31,35.0,23.7,27.7,7.5,0,74.6
32,26.4,13.2,19.0,66.0,0,72.7
33,30.3,14.9,20.6,23.5,0,74.0
34,30.3,19.3,23.3,11.0,0,74.7
35,30.3,15.8,21.3,30.5,0,66.9
36,26.7,14.9,20.1,14.5,0,76.0
37,22.9,10.8,17.6,1.0,0,68.7
38,26.2,11.0,17.8,6.0,0,72.3
39,24.1,12.6,18.0,35.5,0,76.1
40,27.3,8.6,15.8,9.5,0,69.1
41,23.7,5.1,12.9,19.5,0,70.1
42,18.3,3.2,8.3,79.0,0,77.7
43,17.7,4.2,10.9,28.5,0,74.9
44,15.2,5.0,9.2,18.0,0,79.9
45,15.3,2.7,10.0,83.5,0,72.6
46,14.0,1.7,6.3,9.5,0,64.0
47,13.6,-0.5,3.8,42.0,4,71.1
48,14.6,-3.1,4.1,24.5,14,72.0
49,9.3,-1.9,4.0,4.0,1,74.1
50,4.6,-8.3,-0.9,56.0,63,71.1
51,4.1,-10.0,-3.7,21.5,33,69.9
52,0.3,-9.7,-4.9,3.0,3,64.8
