week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,10.0,-1.5,3.7,1.0,0,52.9
2,15.1,-0.3,6.3,4.0,0,66.6
3,14.1,0.2,6.6,45.5,0,70.9
4,19.0,-0.2,8.4,14.0,0,60.3
5,14.9,1.9,8.2,19.0,0,58.1
6,20.5,1.4,9.6,0.0,0,59.6
7,19.5,-0.4,8.1,24.5,0,56.7
8,20.2,1.6,9.0,1.5,0,53.0
9,20.1,4.2,10.7,43.0,0,65.9
10,18.1,3.9,10.5,26.0,0,61.1
11,20.9,5.5,13.2,48.0,0,59.1
12,20.9,5.5,13.0,28.5,0,62.1
13,24.6,10.0,16.9,25.5,0,59.7
14,20.4,5.5,12.8,4.0,0,53.0
15,22.7,7.2,15.0,72.5,0,64.9
16,26.7,7.2,17.4,0.0,0,48.0
17,25.6,8.6,15.9,130.5,0,64.6
18,25.4,10.5,18.2,29.0,0,64.1
19,28.7,12.6,20.5,17.5,0,66.4
20,26.5,17.1,21.3,238.0,0,81.9
21,27.1,14.3,20.5,47.0,0,64.4
22,30.1,16.4,22.2,46.5,0,65.1
23,32.2,20.3,24.9,5.5,0,61.9
24,30.8,19.1,23.4,85.5,0,75.4
25,31.3,19.0,24.5,0.0,0,67.7
26,31.4,20.8,25.3,80.0,0,79.7
27,32.5,23.4,27.2,124.0,0,78.9
28,33.5,20.9,27.1,99.0,0,72.4
29,35.3,24.8,29.2,0.0,0,66.3
30,35.7,26.2,29.9,0.0,0,62.1
31,38.9,25.5,30.2,5.0,0,67.4
32,33.0,21.6,26.5,161.0,0,79.1
33,33.3,21.5,25.4,145.0,0,83.3
34,34.1,25.7,29.5,3.5,0,69.0
35,34.4,21.7,26.6,100.0,0,74.4
36,31.8,21.1,25.5,31.5,0,71.1
37,30.8,20.4,24.2,57.0,0,75.1
38,31.3,19.6,24.7,3.5,0,70.0
39,30.9,18.7,24.4,0.0,0,64.1
40,31.4,19.5,25.1,0.0,0,66.4
41,29.3,14.2,22.7,30.5,0,68.4
42,20.9,9.7,15.4,1.5,0,59.0
43,22.3,10.9,16.3,36.5,0,68.9
44,23.8,10.9,16.7,0.0,0,62.6
45,24.0,7.9,14.3,45.0,0,66.3
46,20.8,9.0,14.4,0.0,0,64.4
47,17.8,5.1,11.9,33.5,0,57.9
48,20.9,4.3,9.9,43.0,0,60.3
49,17.3,6.1,11.6,32.0,0,73.1
50,15.9,2.2,8.6,20.0,0,62.1
51,14.5,1.3,8.3,6.0,0,63.7
52,12.1,0.7,5.6,0.5,0,58.8
