week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,-0.1,-8.6,-4.4,6.5,12,67.6
2,3.2,-5.8,-1.7,5.0,5,73.7
3,0.7,-8.8,-3.0,2.5,13,69.0
4,3.8,-7.9,-2.4,29.5,49,72.1
5,3.9,-8.1,-0.3,8.0,6,71.7
6,-1.0,-14.9,-6.2,61.5,93,70.3
7,8.5,-9.8,-0.9,21.5,26,77.3
8,6.6,-4.5,0.1,51.0,41,75.9
9,3.1,-7.2,-1.5,26.5,41,72.6
10,7.1,-1.8,1.3,33.5,18,75.4
11,11.3,-3.3,2.7,54.0,9,71.6
12,10.9,-2.8,4.7,6.5,6,59.7
13,9.5,-0.4,4.3,10.0,10,61.1
14,15.9,-0.6,7.1,3.0,0,58.7
15,11.8,0.0,4.5,20.5,0,72.6
16,17.2,0.0,6.9,0.0,0,59.1
17,14.0,1.7,6.8,26.5,0,65.7
18,24.1,4.1,12.3,3.5,0,64.3
19,22.7,5.0,12.3,19.5,0,65.6
20,23.4,8.3,14.1,2.0,0,63.7
21,20.6,4.8,11.4,3.0,0,64.3
22,29.9,10.7,16.1,20.0,0,69.9
23,29.1,10.9,17.8,5.0,0,66.3
24,30.0,12.1,20.4,4.0,0,65.3
25,25.0,13.3,16.6,6.5,0,79.0
26,26.2,14.3,18.2,22.5,0,77.7
27,27.5,15.3,19.4,31.0,0,81.4
28,29.3,17.3,22.0,31.0,0,75.4
29,28.2,16.2,20.8,0.0,0,74.1
30,28.9,18.8,21.8,6.0,0,79.7
31,31.3,17.5,22.2,2.0,0,73.9
32,30.2,17.7,23.6,17.0,0,78.7
33,32.7,17.9,24.0,36.0,0,78.1
34,34.3,15.1,22.6,0.5,0,71.4
35,33.1,13.4,23.7,68.0,0,77.7
36,30.3,13.2,22.4,2.5,0,77.6
37,32.7,14.0,22.3,19.0,0,78.6
38,25.8,14.2,19.6,32.0,0,78.4
39,23.2,12.6,17.2,2.0,0,71.3
40,22.9,10.6,16.8,24.0,0,75.4
41,20.8,7.3,14.3,6.0,0,67.7
42,19.3,6.4,12.5,9.5,0,67.0
43,21.1,5.5,12.8,14.5,0,65.4
44,16.7,4.6,10.3,14.5,0,70.1
45,18.9,1.4,9.9,11.0,0,64.1
46,13.4,-0.8,4.6,50.0,10,72.0
47,15.3,1.1,7.8,34.5,0,76.9
48,7.9,0.3,2.8,15.5,9,64.4
49,7.1,-2.5,1.1,0.0,1,63.3
50,7.6,-3.6,1.5,1.0,0,64.0
51,1.0,-9.3,-4.8,11.5,22,62.4
52,7.3,-9.3,-1.3,8.5,13,68.3
53,-0.8,-12.6,-6.0,5.5,14,71.2
