week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,12.5,0.0,6.0,0.0,0,48.6
2,14.2,1.3,7.8,4.5,0,61.7
3,12.4,1.7,6.1,10.0,0,61.6
4,11.8,-3.4,3.3,1.0,0,51.1
5,13.1,-0.7,5.7,0.0,0,47.7
6,16.9,0.0,7.8,27.5,0,62.3
7,18.5,-0.7,6.8,10.5,0,55.6
8,14.7,0.2,7.3,2.5,0,47.7
9,20.0,3.0,10.7,0.0,0,49.4
10,22.9,6.5,14.1,2.0,0,59.1
11,20.9,4.4,11.6,41.0,0,71.1
12,25.0,6.1,14.6,83.0,0,83.7
13,23.3,7.5,13.6,19.0,0,69.4
14,23.4,6.6,15.2,15.0,0,62.0
15,25.0,7.4,16.7,46.5,0,65.1
16,26.8,9.5,16.8,1.0,0,56.7
17,24.1,8.5,16.8,27.5,0,64.7
18,27.9,11.8,19.2,44.5,0,64.3
19,25.0,10.1,16.0,47.5,0,73.0
20,32.2,13.1,20.7,31.5,0,75.4
21,29.4,11.8,19.4,14.0,0,71.1
22,27.5,15.3,20.6,282.5,0,82.3
23,29.8,17.0,21.9,50.0,0,81.7
24,31.1,18.8,23.7,24.5,0,80.7
25,30.9,16.7,22.9,5.5,0,75.7
26,33.8,20.7,26.3,22.0,0,82.6
27,34.2,21.3,27.1,14.0,0,77.4
28,37.5,24.2,29.3,0.0,0,71.3
29,37.5,22.5,29.0,0.0,0,67.9
30,37.7,23.5,30.1,0.0,0,66.3
31,36.7,22.2,29.4,16.5,0,74.0
32,35.9,25.8,29.1,57.5,0,78.6
33,35.7,25.5,29.4,41.5,0,80.3
34,34.8,25.5,29.0,17.0,0,79.6
35,35.0,25.3,29.3,3.5,0,73.3
36,34.8,19.7,26.3,143.5,0,85.4
37,33.4,23.3,28.0,10.5,0,80.4
38,33.5,19.4,25.8,71.5,0,80.6
39,33.2,18.5,25.3,0.0,0,76.0
40,27.3,14.7,20.6,15.0,0,60.0
41,26.6,12.7,18.1,96.5,0,74.3
42,27.1,11.5,19.2,0.0,0,61.6
43,24.0,11.4,17.2,35.5,0,68.3
44,26.3,11.6,18.4,0.0,0,72.7
45,27.5,8.0,16.8,8.0,0,72.4
46,19.4,5.9,12.0,33.5,0,63.3
47,24.2,5.3,12.5,0.0,0,61.7
48,22.5,4.1,10.5,0.0,0,58.0
49,19.9,4.7,11.2,1.0,0,62.0
50,21.1,5.9,12.2,17.0,0,67.0
51,13.5,0.1,6.5,0.0,0,47.0
52,14.4,1.0,7.9,1.5,0,60.4
