week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,14.0,-0.3,5.7,0.0,0,50.8
2,12.2,-1.2,4.8,0.0,0,53.0
3,12.0,0.4,6.3,0.5,0,51.7
4,11.2,-0.2,5.5,0.0,0,44.3
5,13.4,-0.9,5.9,15.5,0,53.6
6,19.4,-1.2,6.5,17.0,0,65.0
7,13.9,0.0,5.0,0.0,0,51.7
8,19.5,2.0,9.5,2.0,0,58.3
9,17.1,4.0,8.8,38.0,0,66.6
10,16.9,2.3,9.4,65.5,0,73.9
11,19.1,3.3,10.4,32.0,0,52.6
12,23.9,1.1,12.4,0.0,0,52.1
13,19.7,3.9,10.9,5.0,0,57.1
14,22.5,2.3,11.6,5.5,0,48.7
15,18.3,3.6,10.3,42.0,0,62.3
16,23.6,9.8,16.3,5.0,0,61.3
17,25.6,6.0,16.0,18.0,0,75.1
18,25.2,10.5,17.2,49.5,0,72.4
19,27.8,7.9,18.3,0.0,0,56.4
20,25.9,13.3,19.3,0.5,0,69.4
21,32.6,14.1,21.9,82.0,0,63.4
22,32.4,16.6,22.3,8.5,0,69.7
23,32.3,15.9,21.7,29.5,0,80.9
24,30.7,13.9,19.5,150.0,0,81.1
25,29.5,17.4,23.3,6.0,0,75.6
26,30.7,17.2,22.7,39.5,0,88.4
27,29.1,17.9,22.3,55.0,0,93.0
28,27.3,17.7,20.8,54.0,0,87.0
29,31.4,19.0,24.2,54.0,0,91.7
30,33.1,21.6,26.6,30.0,0,87.3
31,35.1,25.3,29.7,0.0,0,79.9
32,35.6,25.1,29.9,0.0,0,75.6
33,35.5,25.6,29.4,29.0,0,79.6
34,32.2,20.7,26.7,56.0,0,85.6
35,34.6,22.8,26.6,25.0,0,81.9
36,33.5,22.5,26.9,10.0,0,82.4
37,36.2,19.5,25.9,127.5,0,76.1
38,31.1,17.1,22.7,55.0,0,80.4
39,30.9,18.2,24.4,4.5,0,76.4
40,30.3,18.7,24.2,15.5,0,72.6
41,28.5,15.0,21.3,238.5,0,77.0
42,23.9,14.6,17.4,68.5,0,85.6
43,24.8,12.4,17.4,195.5,0,84.4
44,23.9,10.9,16.3,22.0,0,77.6
45,22.6,8.8,14.4,1.0,0,62.1
46,22.3,7.8,13.9,7.0,0,64.4
47,21.4,6.3,12.9,129.5,0,73.4
48,21.9,1.6,9.0,8.5,0,74.6
49,17.0,2.2,8.9,37.5,0,62.1
50,18.9,2.9,9.4,7.0,0,64.7
51,16.1,2.9,8.8,17.5,0,74.6
52,13.7,2.2,7.3,14.0,0,60.7
