week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,12.7,-2.4,4.5,0.0,0,50.9
2,18.7,-1.3,6.0,0.0,0,59.3
3,16.0,-0.3,5.3,32.0,0,61.3
4,16.2,-0.4,6.4,11.5,0,60.7
5,16.3,0.6,7.9,12.0,0,52.1
6,18.2,0.8,8.1,0.0,0,50.1
7,20.9,-0.5,9.3,76.5,0,49.3
8,21.9,0.3,8.6,0.0,0,43.7
9,21.0,2.3,10.7,12.5,0,64.7
10,19.4,4.2,10.6,70.5,0,65.4
11,22.0,6.6,13.9,46.5,0,55.3
12,21.2,5.3,13.7,9.0,0,58.3
13,23.4,11.8,17.3,45.0,0,68.0
14,19.6,6.4,12.1,20.5,0,60.6
15,22.0,6.0,14.6,85.0,0,69.0
16,26.2,8.9,16.6,0.0,0,46.7
17,24.2,8.2,16.6,50.0,0,63.7
18,28.5,10.9,18.7,7.5,0,64.4
19,26.9,14.4,19.1,13.0,0,68.9
20,25.4,15.0,20.2,25.5,0,88.7
21,28.9,15.0,21.0,36.0,0,71.3
22,27.4,15.1,21.4,34.5,0,77.4
23,31.4,18.8,24.0,0.0,0,66.1
24,29.5,18.5,22.0,65.0,0,83.6
25,28.6,19.1,23.1,20.5,0,77.3
26,29.6,18.4,21.6,259.5,0,91.7
27,33.4,19.9,24.5,42.0,0,91.7
28,33.2,21.0,26.6,0.0,0,78.9
29,34.7,24.1,28.6,0.0,0,71.3
30,33.7,21.3,27.1,64.5,0,79.1
31,34.8,24.0,28.4,96.0,0,81.0
32,36.8,18.4,25.5,238.5,0,83.4
33,33.8,19.0,26.4,28.5,0,81.9
34,35.7,22.2,28.9,2.5,0,76.4
35,33.8,18.3,22.5,79.5,0,90.3
36,30.0,16.8,22.2,23.0,0,84.4
37,30.7,17.6,23.3,131.5,0,80.1
38,31.7,17.8,23.4,1.0,0,73.9
39,30.1,15.2,21.3,119.5,0,78.9
40,29.7,18.2,22.9,0.0,0,77.7
41,29.3,11.1,19.8,27.0,0,86.1
42,22.3,7.9,13.8,18.5,0,66.3
43,23.0,9.5,14.9,39.0,0,71.7
44,22.1,10.6,16.1,1.0,0,68.1
45,21.5,8.6,15.1,49.0,0,65.1
46,20.4,8.3,13.3,12.5,0,68.6
47,18.5,3.8,11.5,24.5,0,59.0
48,20.3,3.8,10.4,60.5,0,58.0
49,16.7,4.1,10.0,46.0,0,74.9
50,14.7,-0.7,7.1,11.5,0,62.3
51,15.2,-0.2,7.4,4.0,0,54.3
52,14.5,-2.2,4.1,0.0,0,49.4
