week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,12.2,1.4,6.1,0.0,0,59.6
2,13.6,0.5,5.8,7.5,0,60.4
3,9.6,0.9,4.6,12.5,0,60.7
4,11.4,0.5,6.4,0.0,0,63.6
5,11.0,0.9,5.3,0.0,0,53.4
6,13.3,0.2,5.9,8.0,0,63.0
7,12.6,0.2,5.3,8.5,0,59.6
8,13.1,-0.5,5.2,0.0,0,54.1
9,16.8,2.5,8.5,14.5,0,60.6
10,21.5,1.7,10.9,0.0,0,57.1
11,22.2,5.5,13.2,50.5,0,64.4
12,20.0,4.1,11.6,34.0,0,65.1
13,21.2,5.2,11.8,10.5,0,60.0
14,25.9,7.4,15.9,0.0,0,52.9
15,27.3,8.4,17.7,13.5,0,66.6
16,25.1,11.9,18.1,23.5,0,63.3
17,27.4,11.3,18.2,79.0,0,71.3
18,26.9,9.5,18.1,0.0,0,53.6
19,26.4,11.5,18.5,40.0,0,70.6
20,27.5,14.3,20.3,2.0,0,56.4
21,31.8,17.3,23.2,21.5,0,58.4
22,29.2,15.4,22.3,18.0,0,60.0
23,29.0,15.2,21.8,18.5,0,67.9
24,30.0,17.1,23.1,15.0,0,73.9
25,34.0,22.1,26.9,61.0,0,75.4
26,38.4,25.1,29.2,1.5,0,69.0
27,34.4,23.8,27.6,83.5,0,78.4
28,32.1,23.5,27.1,48.5,0,76.4
29,33.2,22.9,28.0,33.5,0,68.7
30,37.0,26.3,30.3,7.0,0,66.6
31,35.8,25.1,30.0,23.5,0,70.3
32,35.8,27.4,30.9,0.5,0,67.1
33,36.3,23.2,29.1,42.5,0,73.1
34,34.5,22.8,28.8,0.5,0,67.1
35,34.5,21.6,27.5,66.0,0,76.9
36,34.8,21.9,27.4,48.0,0,72.3
37,34.8,24.3,28.7,3.5,0,65.9
38,32.1,17.9,23.7,51.0,0,68.4
39,31.3,19.3,24.1,18.5,0,65.4
40,30.5,14.4,20.4,55.5,0,70.1
41,28.5,14.4,20.1,24.5,0,67.1
42,24.9,12.0,18.8,10.5,0,66.4
43,22.2,10.4,15.6,2.0,0,59.0
44,23.4,10.3,16.1,5.5,0,69.4
45,24.0,9.7,16.2,23.5,0,66.7
46,19.0,8.4,13.8,11.0,0,64.3
47,19.5,9.4,14.7,16.0,0,71.7
48,20.5,3.6,11.7,25.5,0,67.6
49,16.8,5.8,10.6,0.5,0,58.6
50,14.5,2.2,7.7,9.0,0,56.0
51,11.9,0.7,5.4,8.5,0,59.1
52,11.8,-0.1,6.7,0.0,0,59.1
