week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,2.9,-8.1,-2.4,10.5,25,69.2
2,4.1,-7.5,-3.0,24.0,33,68.3
3,3.5,-12.3,-3.6,18.5,23,70.7
4,1.5,-7.7,-3.2,24.5,31,72.4
5,3.3,-8.4,-2.9,10.5,15,64.9
6,2.4,-13.1,-6.1,17.0,30,68.9
7,0.7,-9.0,-3.9,6.0,9,63.7
8,8.1,-5.7,0.9,5.0,7,66.4
9,7.0,-4.1,1.3,2.5,5,60.4
10,10.5,-4.0,2.6,0.5,1,63.3
11,6.3,-3.0,2.1,16.0,12,73.4
12,13.7,-4.6,3.5,14.5,12,68.0
13,10.5,-2.8,2.0,8.0,7,57.9
14,11.4,-1.4,3.6,7.0,1,66.4
15,17.7,1.3,7.5,0.0,0,55.7
16,22.9,1.9,10.5,19.0,0,53.0
17,23.2,2.4,9.0,4.0,0,61.3
18,24.4,6.1,13.5,4.0,0,57.9
19,23.6,5.9,11.2,23.5,0,64.1
20,26.4,6.1,16.3,0.0,0,63.3
21,32.0,10.2,18.0,1.5,0,63.3
22,34.2,12.5,19.4,3.5,0,52.3
23,29.4,12.0,17.0,7.5,0,75.1
24,24.6,12.0,16.8,15.0,0,72.7
25,26.5,9.7,17.1,46.0,0,73.3
26,27.2,13.5,18.5,0.0,0,75.1
27,26.4,14.8,18.9,5.0,0,77.9
28,27.9,15.0,19.8,19.5,0,74.9
29,27.9,18.5,22.1,2.5,0,75.0
30,30.8,18.1,23.0,4.5,0,79.6
31,34.2,21.9,27.8,0.0,0,70.1
32,32.4,17.7,23.4,52.5,0,79.0
33,31.8,19.3,23.2,19.0,0,78.4
34,27.3,16.4,20.0,46.5,0,82.0
35,27.8,15.7,21.0,26.5,0,75.9
36,31.3,14.6,22.5,7.0,0,71.4
37,32.6,13.1,20.7,26.0,0,73.4
38,23.8,10.4,16.9,10.5,0,68.4
39,24.7,9.8,16.8,65.0,0,67.3
40,25.7,8.4,16.9,41.0,0,76.3
41,22.2,7.5,14.2,29.5,0,72.0
42,18.1,4.0,10.5,24.0,0,67.1
43,19.8,6.2,13.0,0.0,0,69.1
44,18.6,3.8,11.0,4.0,0,60.4
45,11.2,0.8,5.0,13.5,0,60.6
46,13.1,-3.5,3.9,24.5,20,71.7
47,16.8,-4.2,4.0,14.0,5,69.3
48,9.2,-5.4,-0.0,29.5,19,70.9
49,6.6,-6.5,-2.2,33.0,17,71.9
50,10.2,-7.7,2.0,12.0,9,70.7
51,8.7,-5.2,-0.1,3.0,3,70.9
52,-0.3,-6.9,-3.6,8.5,23,69.3
