疾病,報告年,報告週,～6か月,～12か月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10～14歳,15～19歳,20～29歳,30～39歳,40～49歳,50～59歳,60～69歳,70～79歳,80歳以上,合計,定点数,定点あたり報告数
インフルエンザ,2023,20,0,0,12,5,9,9,8,7,4,12,6,34,6,1,3,5,0,1,0,0,122,53,2.30
インフルエンザ,2023,21,0,0,6,4,2,8,11,3,6,1,2,10,0,2,6,2,0,0,1,0,64,53,1.21
インフルエンザ,2023,22,0,0,1,1,4,4,6,3,2,0,0,8,4,1,4,1,1,0,0,0,40,53,0.75
インフルエンザ,2023,23,1,1,2,2,2,2,1,2,0,0,4,1,2,14,3,5,1,3,0,0,46,53,0.87
インフルエンザ,2023,24,0,0,0,1,0,1,1,1,0,0,0,0,6,1,1,0,0,0,0,1,13,53,0.25
インフルエンザ,2023,25,0,0,0,1,0,2,5,1,1,0,0,5,0,5,2,3,1,1,0,0,27,53,0.51
インフルエンザ,2023,26,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,2,0,1,0,0,10,53,0.19
インフルエンザ,2023,27,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,53,0.08
インフルエンザ,2023,28,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,53,0.09
インフルエンザ,2023,29,0,1,3,2,0,2,1,1,3,1,0,10,4,2,1,2,2,2,0,1,38,53,0.72
インフルエンザ,2023,30,0,0,0,0,0,0,0,3,1,1,3,3,0,0,0,1,0,1,0,1,14,56,0.25
インフルエンザ,2023,31,0,0,1,1,0,1,0,0,1,1,0,3,0,0,0,1,1,1,1,1,13,56,0.23
インフルエンザ,2023,32,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,8,56,0.14
インフルエンザ,2023,33,0,1,0,0,0,0,0,0,0,0,1,2,7,8,1,3,1,1,0,1,26,56,0.46
インフルエンザ,2023,34,0,0,3,4,3,1,1,3,2,5,1,5,6,4,0,0,0,0,2,1,41,55,0.75
インフルエンザ,2023,35,0,0,1,0,1,1,6,2,1,1,4,5,6,7,2,2,1,0,0,0,40,55,0.73
インフルエンザ,2023,36,1,0,3,1,1,2,5,0,1,2,1,8,9,4,2,0,0,0,1,0,41,56,0.73
インフルエンザ,2023,37,1,0,3,5,4,2,5,3,2,8,4,11,6,4,4,2,0,1,0,0,65,56,1.16
インフルエンザ,2023,38,0,0,3,4,4,4,4,3,10,3,1,21,9,8,9,4,1,4,0,0,92,56,1.64
インフルエンザ,2023,39,0,0,7,4,9,9,10,12,18,11,6,40,23,9,5,7,5,2,0,0,177,56,3.16
インフルエンザ,2023,40,3,1,9,12,9,25,18,32,32,31,29,135,30,13,17,18,6,3,2,2,427,56,7.63
インフルエンザ,2023,41,1,3,12,10,21,20,36,39,37,35,42,129,25,11,12,27,13,4,3,0,480,56,8.57
インフルエンザ,2023,42,0,4,20,34,30,39,57,61,83,103,92,285,61,17,21,32,9,6,5,2,961,56,17.16
インフルエンザ,2023,43,4,8,39,53,69,114,124,128,156,145,162,705,130,39,52,61,24,19,8,4,2044,56,36.50
インフルエンザ,2023,44,3,8,42,56,94,146,148,152,187,183,167,639,91,38,92,75,41,13,14,8,2197,56,39.23
インフルエンザ,2023,45,9,14,45,53,90,100,135,138,154,166,155,495,97,64,72,86,34,27,13,10,1957,56,34.95
インフルエンザ,2023,46,9,9,50,62,86,101,126,155,182,204,199,693,131,52,78,89,30,31,14,16,2317,56,41.38
インフルエンザ,2023,47,9,19,52,91,116,157,155,190,233,280,290,1074,222,94,112,115,61,33,24,31,3358,56,59.96
インフルエンザ,2023,48,5,27,86,93,132,139,142,182,202,238,192,799,212,142,112,122,56,43,23,14,2961,56,52.88
インフルエンザ,2023,49,11,22,99,99,138,198,194,199,259,216,241,856,293,157,135,122,91,36,32,37,3435,56,61.34
インフルエンザ,2023,50,6,17,64,90,113,135,124,107,145,155,151,494,176,114,114,83,54,38,20,26,2226,56,39.75
インフルエンザ,2023,51,5,21,69,69,81,95,93,84,81,97,85,350,123,115,75,96,78,39,19,23,1698,56,30.32
インフルエンザ,2023,52,4,13,57,47,55,66,53,48,48,42,52,153,92,108,71,68,54,32,20,23,1106,55,20.11
