week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,1.4,-8.2,-4.0,0.5,6,62.6
2,7.6,-6.4,-0.9,21.5,30,76.3
3,1.7,-9.6,-4.5,36.0,61,71.6
4,-2.2,-12.8,-7.7,11.0,14,61.6
5,0.1,-13.2,-5.1,21.0,28,69.3
6,3.3,-8.3,-2.9,16.0,24,74.0
7,5.7,-10.5,-2.5,27.5,47,77.4
8,2.9,-9.1,-2.7,39.0,52,77.6
9,11.2,-8.1,1.1,7.0,13,70.7
10,11.5,-2.2,4.6,7.0,0,73.9
11,10.7,-0.8,4.1,10.5,1,59.0
12,19.1,-0.7,7.4,9.0,0,62.4
13,14.5,0.6,6.7,4.0,0,63.7
14,17.0,1.6,9.0,9.5,0,70.0
15,17.5,3.0,9.6,34.0,0,57.4
16,14.5,1.5,8.0,6.0,0,59.7
17,21.1,4.6,11.4,10.0,0,57.1
18,24.1,6.9,13.0,13.0,0,60.9
19,23.7,4.7,11.4,0.5,0,62.4
20,28.9,9.6,15.1,6.5,0,75.3
21,26.2,7.5,15.8,0.5,0,63.3
22,24.7,8.0,14.4,33.0,0,71.7
23,26.2,8.9,17.3,11.0,0,77.4
24,28.7,15.4,20.2,7.0,0,73.4
25,28.2,13.8,20.0,1.0,0,66.1
26,31.2,17.0,22.1,84.0,0,77.4
27,31.4,17.7,22.5,3.5,0,76.1
28,30.2,19.4,23.0,46.0,0,80.7
29,29.4,18.2,23.0,0.0,0,77.4
30,34.4,22.7,27.7,6.0,0,72.9
31,34.0,20.8,26.5,35.5,0,77.1
32,32.3,19.7,26.3,9.5,0,80.0
33,32.2,22.5,26.2,18.0,0,77.6
34,36.3,23.3,28.6,11.0,0,77.3
35,31.1,18.6,24.9,6.0,0,77.9
36,28.6,15.1,23.4,27.5,0,75.9
37,28.2,17.1,22.7,60.0,0,78.6
38,29.2,12.0,19.3,42.5,0,71.6
39,24.9,12.3,19.0,12.5,0,77.0
40,21.6,9.0,15.0,38.0,0,70.9
41,23.5,8.3,14.7,0.0,0,67.9
42,18.6,3.1,11.0,48.0,0,70.7
43,19.7,4.8,12.4,0.0,0,74.7
44,21.5,2.6,10.9,18.5,0,73.1
45,17.8,-0.3,8.9,27.0,0,74.3
46,13.1,0.6,6.7,53.5,0,67.4
47,17.3,-4.9,5.2,21.0,17,68.7
48,12.1,-5.6,-0.1,6.5,4,70.1
49,11.4,-3.0,4.4,8.0,2,72.1
50,2.9,-4.2,-1.4,14.0,17,67.0
51,-0.3,-8.2,-4.5,0.0,3,57.7
52,3.0,-7.1,-1.3,25.0,34,70.1
