week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,12.0,1.0,6.5,1.5,0,64.0
2,12.7,0.7,6.5,0.0,0,61.3
3,12.3,2.4,7.0,3.0,0,64.3
4,12.4,1.4,6.5,0.0,0,56.4
5,11.1,1.4,6.0,23.0,0,64.0
6,14.2,2.5,7.7,9.0,0,66.7
7,13.0,1.0,5.9,0.0,0,61.0
8,16.3,1.0,9.1,12.0,0,60.6
9,16.2,4.2,9.9,19.0,0,58.1
10,16.9,2.5,10.0,41.0,0,65.0
11,16.2,3.0,9.2,20.5,0,63.0
12,20.0,3.0,11.1,3.5,0,62.0
13,18.8,5.0,12.5,7.5,0,54.0
14,21.9,4.2,11.6,4.0,0,50.6
15,19.3,6.6,12.2,44.5,0,57.6
16,24.9,7.7,16.3,0.0,0,57.0
17,27.6,8.2,17.9,6.5,0,64.3
18,27.2,10.9,18.2,38.5,0,61.7
19,29.7,8.7,19.0,6.5,0,46.4
20,28.2,16.2,21.4,0.5,0,60.4
21,32.4,14.6,23.2,45.5,0,48.7
22,31.6,14.3,22.0,29.5,0,59.4
23,30.9,17.5,23.5,36.0,0,69.6
24,30.5,18.3,22.2,20.5,0,69.1
25,31.3,17.6,24.0,2.5,0,64.4
26,31.8,19.7,25.6,54.5,0,73.9
27,32.0,21.9,25.0,29.5,0,77.1
28,30.7,20.7,24.6,53.0,0,78.4
29,32.8,21.9,26.5,56.0,0,80.1
30,34.4,24.0,28.2,63.5,0,77.6
31,37.5,26.8,30.9,0.0,0,68.3
32,37.2,27.2,30.6,0.0,0,66.7
33,36.7,26.2,30.3,141.0,0,68.7
34,33.9,22.6,27.9,48.5,0,76.4
35,32.5,21.7,26.2,44.0,0,79.4
36,35.7,23.2,28.8,44.0,0,71.6
37,35.0,20.3,27.8,24.5,0,67.9
38,31.8,16.9,24.3,10.5,0,67.1
39,31.7,19.2,25.3,2.0,0,66.9
40,33.1,19.0,25.2,14.5,0,65.7
41,29.9,15.8,21.8,81.0,0,67.7
42,25.0,12.8,19.3,21.0,0,71.6
43,25.2,15.7,19.2,84.0,0,78.4
44,23.6,12.2,17.2,13.5,0,68.4
45,21.0,9.0,14.9,0.0,0,58.3
46,22.2,7.4,14.7,0.0,0,61.6
47,24.5,7.8,14.1,2.0,0,65.0
48,18.6,4.4,11.3,0.0,0,65.4
49,17.1,4.4,9.4,7.0,0,61.6
50,15.0,4.0,9.4,0.0,0,65.1
51,14.9,4.2,9.9,21.0,0,71.6
52,15.0,3.7,9.1,14.5,0,67.4
