年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2023/1/1,11.1,5.7,8.0,0.0,0.0,51.0,晴,晴時々曇
2023/1/2,11.4,4.5,7.3,0.0,0.0,59.0,曇時々晴,晴
2023/1/3,10.6,2.0,6.7,0.0,0.0,55.0,晴,晴
2023/1/4,10.7,5.2,7.3,0.0,0.0,49.0,晴後時々曇,晴後一時曇
2023/1/5,9.9,4.5,6.8,0.0,0.0,56.0,曇時々晴,晴
2023/1/6,11.3,3.7,7.2,0.0,0.0,56.0,晴時々曇,晴後一時曇
2023/1/7,10.4,2.9,6.3,0.0,0.0,71.0,曇一時晴後時々雨,晴一時曇
2023/1/8,12.2,3.5,8.2,0.0,0.0,67.0,晴,快晴
2023/1/9,12.1,3.1,8.2,0.5,0.0,72.0,晴後一時曇,曇時々雨後時々晴
2023/1/10,9.6,3.5,6.5,0.0,0.0,55.0,晴時々曇,晴
2023/1/11,11.6,0.7,5.1,0.0,0.0,64.0,晴一時薄曇,快晴
2023/1/12,14.9,2.1,8.0,0.0,0.0,63.0,快晴,晴時々薄曇
2023/1/13,15.5,6.0,10.6,13.5,0.0,77.0,曇後一時雨,雨
2023/1/14,14.4,10.5,12.4,24.0,0.0,92.0,雨後曇,曇
2023/1/15,13.7,9.7,12.0,0.0,0.0,72.0,曇,曇一時雨
2023/1/16,11.6,4.9,8.9,0.0,0.0,69.0,曇後晴,晴
2023/1/17,9.4,4.0,6.6,0.0,0.0,53.0,晴一時曇,曇一時晴
2023/1/18,10.4,5.0,7.3,0.0,0.0,62.0,曇時々晴後一時雨,晴
2023/1/19,11.4,3.0,6.9,0.0,0.0,60.0,晴,快晴
2023/1/20,11.7,2.7,7.1,0.0,0.0,59.0,晴後時々曇一時雨,晴
2023/1/21,8.3,2.3,4.9,0.0,0.0,55.0,晴後一時曇,快晴
2023/1/22,9.1,0.3,5.0,0.0,0.0,62.0,晴時々曇,曇後雨
2023/1/23,8.1,3.4,5.8,2.5,0.0,78.0,雨後曇,曇
2023/1/24,9.8,-1.5,4.6,0.0,0.0,64.0,曇後一時晴,曇一時雪後晴
2023/1/25,3.5,-2.0,0.6,0.0,0.0,56.0,晴後曇一時雪,晴
2023/1/26,6.7,0.8,3.6,0.0,0.0,55.0,晴後曇,曇
2023/1/27,5.7,1.0,3.3,5.5,0.0,77.0,曇時々みぞれ一時雨,曇時々晴一時雪
2023/1/28,7.3,1.1,3.2,0.0,0.0,64.0,晴一時みぞれ,快晴
2023/1/29,7.5,-0.6,3.8,0.0,0.0,53.0,晴,快晴
2023/1/30,9.4,2.3,5.0,0.0,0.0,60.0,曇時々晴一時雨、みぞれを伴う,晴
2023/1/31,8.5,0.5,4.3,0.0,0.0,59.0,晴,晴後一時薄曇
2023/2/1,10.3,0.6,6.1,0.0,0.0,67.0,曇後時々雨,曇時々雨後一時晴
2023/2/2,8.3,4.4,6.0,0.0,0.0,57.0,曇,曇
2023/2/3,8.0,2.1,4.9,0.0,0.0,62.0,曇時々晴,晴後一時薄曇
2023/2/4,11.6,0.5,6.1,0.0,0.0,65.0,晴,晴
2023/2/5,11.4,2.6,6.9,0.0,0.0,55.0,晴,快晴
2023/2/6,11.0,2.1,7.0,0.0,0.0,58.0,曇一時晴,曇
2023/2/7,13.2,7.2,9.7,0.0,0.0,58.0,曇,曇後一時晴
2023/2/8,12.6,5.6,8.7,0.0,0.0,64.0,曇時々晴,快晴
2023/2/9,10.3,3.3,6.1,0.0,0.0,55.0,晴一時曇,晴後曇
2023/2/10,9.2,3.8,6.4,3.0,0.0,78.0,雨一時曇、みぞれを伴う,雨後曇
2023/2/11,14.3,8.3,10.3,0.0,0.0,60.0,晴後曇,曇後晴
2023/2/12,16.9,5.7,11.4,0.0,0.0,55.0,晴後薄曇,曇後雨
2023/2/13,12.0,6.3,9.4,5.0,0.0,76.0,雨時々曇,曇後晴
2023/2/14,8.6,2.7,5.3,0.0,0.0,54.0,曇時々晴一時雨,晴一時雪
2023/2/15,6.9,0.8,3.0,0.0,0.0,55.0,晴時々曇,曇一時晴
2023/2/16,6.6,2.1,3.7,0.0,0.0,53.0,曇,晴
2023/2/17,11.7,-0.1,6.0,0.0,0.0,60.0,晴,曇時々晴
2023/2/18,10.7,5.1,8.3,0.0,0.0,74.0,曇時々雨,雨時々曇
2023/2/19,14.3,9.0,11.3,10.0,0.0,83.0,雨後時々曇,晴一時曇
2023/2/20,12.7,3.7,8.0,0.0,0.0,58.0,曇時々雨後晴,晴一時曇
2023/2/21,8.5,2.2,4.1,0.0,0.0,57.0,晴,曇時々晴
2023/2/22,10.0,2.2,5.6,0.0,0.0,55.0,晴一時曇,曇
2023/2/23,12.5,4.8,8.0,0.0,0.0,66.0,雨一時曇後晴,曇
2023/2/24,8.7,6.4,7.0,15.5,0.0,85.0,雨時々曇,晴一時雨
2023/2/25,10.2,3.2,5.8,0.0,0.0,55.0,晴,快晴
2023/2/26,8.9,2.3,5.0,0.0,0.0,56.0,曇時々晴,晴
2023/2/27,12.8,1.9,7.3,0.0,0.0,57.0,快晴,快晴
2023/2/28,15.6,3.5,9.8,0.0,0.0,62.0,快晴,晴後時々薄曇
2023/3/1,18.8,6.1,13.1,0.5,0.0,59.0,晴後薄曇,曇時々雨
2023/3/2,13.2,4.9,8.8,1.5,0.0,62.0,曇一時雨後晴,曇一時晴
2023/3/3,11.6,5.0,7.7,0.0,0.0,47.0,晴,薄曇一時晴
2023/3/4,16.5,4.1,9.2,0.0,0.0,53.0,薄曇,薄曇
2023/3/5,14.8,6.5,9.4,0.0,0.0,51.0,晴,快晴
2023/3/6,15.9,4.2,10.0,0.0,0.0,51.0,快晴,快晴
2023/3/7,17.0,5.7,11.5,0.0,0.0,45.0,快晴,快晴
2023/3/8,19.8,7.2,13.3,0.0,0.0,51.0,晴後一時薄曇,薄曇後晴
2023/3/9,21.1,8.9,15.6,0.0,0.0,60.0,薄曇一時晴,曇一時晴
2023/3/10,21.7,13.2,17.1,0.0,0.0,56.0,晴,快晴
2023/3/11,24.6,9.6,16.2,0.0,0.0,46.0,快晴,晴後一時薄曇
2023/3/12,22.3,12.0,17.1,0.0,0.0,60.0,曇一時晴,晴後雨時々曇、雷を伴う
2023/3/13,17.8,6.0,10.9,15.5,0.0,58.0,曇後時々晴,晴後時々薄曇
2023/3/14,16.2,4.5,10.3,0.0,0.0,47.0,快晴,快晴
2023/3/15,19.8,7.1,13.5,0.0,0.0,54.0,晴,薄曇後晴
2023/3/16,21.5,10.4,16.1,0.0,0.0,59.0,晴後一時曇,曇一時雨
2023/3/17,15.8,8.1,12.3,10.5,0.0,69.0,曇,雨
2023/3/18,13.5,7.9,9.9,16.5,0.0,76.0,雨後曇一時晴,晴時々曇
2023/3/19,16.9,6.7,11.5,0.0,0.0,54.0,快晴,晴一時薄曇
2023/3/20,18.8,6.7,12.9,0.0,0.0,47.0,晴後一時薄曇,曇一時晴
2023/3/21,16.6,11.2,13.4,0.5,0.0,71.0,曇後雨,曇後晴
2023/3/22,25.2,12.0,17.5,0.0,0.0,70.0,晴一時曇,曇一時晴
2023/3/23,19.9,16.5,18.1,11.0,0.0,83.0,雨時々曇,曇一時雨
2023/3/24,21.3,13.6,17.2,0.0,0.0,76.0,曇,曇後雨
2023/3/25,16.7,9.0,12.9,3.5,0.0,65.0,曇一時雨,曇時々雨
2023/3/26,12.7,10.3,11.3,16.5,0.0,88.0,雨,曇時々雨後晴
2023/3/27,17.3,8.9,12.2,0.0,0.0,55.0,曇時々晴,晴
2023/3/28,18.4,6.8,12.3,0.0,0.0,49.0,晴,快晴
2023/3/29,19.2,7.3,13.0,0.0,0.0,37.0,晴後時々薄曇,晴一時薄曇
2023/3/30,20.9,7.3,14.1,0.0,0.0,36.0,晴後薄曇,薄曇
2023/3/31,22.2,10.6,15.4,0.0,0.0,51.0,曇後晴,快晴
2023/4/1,25.1,10.4,17.2,0.0,0.0,46.0,晴後薄曇,薄曇後時々晴
2023/4/2,23.3,10.9,15.7,0.0,0.0,53.0,薄曇一時晴,曇
2023/4/3,21.7,11.2,14.8,0.0,0.0,54.0,晴一時曇,晴
2023/4/4,21.4,10.0,15.6,0.0,0.0,60.0,晴,曇一時晴
2023/4/5,20.7,14.5,17.0,1.5,0.0,61.0,曇,雨後時々曇
2023/4/6,22.5,14.4,18.3,0.0,0.0,73.0,曇一時雨,雨時々曇
2023/4/7,19.7,13.0,16.2,55.0,0.0,90.0,大雨,曇時々雨後晴
2023/4/8,16.1,10.4,12.8,0.0,0.0,52.0,曇後晴,快晴
2023/4/9,17.8,7.2,12.9,0.0,0.0,46.0,快晴,快晴
2023/4/10,20.8,8.6,15.3,0.0,0.0,53.0,晴,快晴
2023/4/11,24.0,12.2,18.3,0.0,0.0,57.0,晴一時薄曇,曇一時晴
2023/4/12,20.4,10.9,15.7,4.5,0.0,70.0,雨時々曇一時晴,快晴
2023/4/13,21.9,8.3,15.0,0.0,0.0,50.0,快晴,晴後薄曇
2023/4/14,22.2,11.9,16.6,5.5,0.0,61.0,曇,雨
2023/4/15,15.3,12.3,14.2,28.5,0.0,93.0,雨後時々曇,雨後曇
2023/4/16,19.9,12.8,15.8,0.0,0.0,69.0,晴一時曇,曇時々雨、雷を伴う
2023/4/17,18.0,10.4,13.8,4.0,0.0,58.0,晴,快晴
2023/4/18,21.5,10.0,16.1,0.0,0.0,60.0,曇一時晴,曇後時々雨、雷を伴う
