年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2019/1/1,10.7,0.9,5.3,0.0,0.0,54.0,晴,快晴
2019/1/2,10.9,2.2,6.2,0.0,0.0,47.0,快晴,快晴
2019/1/3,10.9,-0.3,4.9,0.0,0.0,49.0,快晴,快晴
2019/1/4,9.8,0.2,5.1,0.0,0.0,59.0,快晴,晴
2019/1/5,14.0,0.9,7.4,0.0,0.0,52.0,快晴,晴後一時曇
2019/1/6,8.0,2.4,5.3,0.0,0.0,44.0,晴後曇,晴一時曇
2019/1/7,10.6,0.4,5.4,0.0,0.0,42.0,快晴,晴一時薄曇
2019/1/8,9.8,0.7,4.6,0.0,0.0,59.0,晴一時薄曇,薄曇後晴
2019/1/9,8.0,1.0,4.5,0.0,0.0,46.0,快晴,快晴
2019/1/10,5.2,-1.2,2.0,0.0,0.0,48.0,曇時々晴,快晴
2019/1/11,12.2,-0.2,6.4,0.0,0.0,47.0,晴,晴後曇
2019/1/12,6.2,2.7,4.6,0.0,0.0,67.0,曇一時雪,雨
2019/1/13,10.1,3.9,6.2,0.0,0.0,62.0,晴一時曇,晴
2019/1/14,9.8,1.3,5.6,0.0,0.0,59.0,快晴,快晴
2019/1/15,10.5,0.4,5.6,0.5,0.0,76.0,曇時々晴後一時雨,晴時々曇
2019/1/16,11.3,1.8,6.6,0.0,0.0,50.0,晴後曇,曇時々晴
2019/1/17,11.6,2.0,6.6,0.0,0.0,51.0,晴,快晴
2019/1/18,10.0,2.8,5.9,0.0,0.0,35.0,快晴,快晴
2019/1/19,11.7,1.9,6.6,0.0,0.0,40.0,晴,晴後一時曇
2019/1/20,12.0,1.8,7.1,0.0,0.0,51.0,晴一時曇,快晴
2019/1/21,10.5,2.5,5.8,0.0,0.0,39.0,快晴,快晴
2019/1/22,10.6,-0.2,5.0,0.0,0.0,48.0,晴,晴後曇
2019/1/23,11.2,1.7,6.7,0.0,0.0,53.0,晴,快晴
2019/1/24,10.2,3.4,6.2,0.0,0.0,36.0,快晴,晴
2019/1/25,10.0,2.8,6.0,0.0,0.0,41.0,晴後曇,曇後時々晴
2019/1/26,9.9,1.5,4.5,0.0,0.0,50.0,晴後一時曇,快晴
2019/1/27,9.7,1.1,4.6,0.0,0.0,43.0,快晴,晴後一時曇
2019/1/28,13.2,0.0,6.5,0.0,0.0,49.0,曇後晴,快晴
2019/1/29,9.9,3.0,6.0,0.0,0.0,39.0,快晴,快晴
2019/1/30,10.0,0.2,5.2,0.0,0.0,58.0,晴一時薄曇,晴時々薄曇
2019/1/31,11.2,1.7,5.1,15.5,0.0,72.0,曇後一時雨,雨一時みぞれ後晴、雷を伴う
2019/2/1,8.3,1.3,4.1,0.0,0.0,45.0,快晴,快晴
2019/2/2,12.6,-0.9,6.0,0.0,0.0,54.0,快晴,晴一時薄曇
2019/2/3,13.4,3.0,8.5,0.0,0.0,58.0,晴,晴後時々曇
2019/2/4,19.4,6.7,13.2,0.0,0.0,54.0,晴,晴後曇
2019/2/5,8.8,5.3,6.7,0.0,0.0,55.0,曇,曇時々晴
2019/2/6,7.7,3.9,5.7,15.0,0.0,89.0,雨後一時晴,快晴
2019/2/7,16.5,3.9,9.6,0.0,0.0,79.0,薄曇一時晴,薄曇後晴
2019/2/8,10.6,3.3,6.1,0.0,0.0,39.0,晴後曇,曇一時雪
2019/2/9,3.5,-0.5,0.8,2.0,0.0,83.0,雪後一時曇,みぞれ一時雪後薄曇
2019/2/10,7.9,-1.2,3.5,0.0,0.0,56.0,晴後薄曇,曇後一時雪
2019/2/11,4.6,0.4,3.0,0.0,0.0,70.0,雪後曇,曇後晴
2019/2/12,11.1,0.9,6.2,0.0,0.0,47.0,晴後曇,曇一時晴
2019/2/13,8.6,3.3,5.2,0.0,0.0,55.0,曇後一時晴,曇後一時晴
2019/2/14,8.5,1.8,4.5,0.0,0.0,40.0,薄曇時々晴,晴時々曇
2019/2/15,5.3,0.0,3.0,0.0,0.0,64.0,曇一時雪後一時晴,曇
2019/2/16,13.9,2.0,6.8,0.0,0.0,50.0,曇時々晴,晴時々曇
2019/2/17,11.8,3.4,6.4,0.0,0.0,36.0,晴一時曇,快晴
