年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2023/1/1,1.5,-6.1,-1.9,2.5,6.0,76.0,雪一時晴,雪一時晴
2023/1/2,-4.8,-8.2,-6.7,0.0,0.0,56.0,晴一時雪,晴一時雪
2023/1/3,-3.7,-7.5,-5.9,0.0,1.0,56.0,晴一時雪,晴後一時雪
2023/1/4,-2.3,-7.2,-5.3,0.0,2.0,56.0,晴時々雪,晴一時雪
2023/1/5,0.0,-5.0,-2.1,0.0,1.0,56.0,晴時々雪,雪後時々曇
2023/1/6,1.4,-3.0,-1.0,0.0,1.0,62.0,晴一時雪,晴
2023/1/7,-0.4,-5.7,-2.8,0.5,1.0,79.0,雪一時曇,晴一時雪
2023/1/8,-1.2,-7.4,-4.4,0.0,0.0,73.0,晴時々曇,晴一時曇
2023/1/9,2.7,-4.5,-1.5,4.5,8.0,77.0,晴一時雪,雪一時曇、ふぶきを伴う
2023/1/10,-1.1,-5.1,-3.4,16.0,20.0,83.0,雪,曇時々雪
2023/1/11,2.4,-4.1,-1.5,0.0,0.0,80.0,晴一時曇,晴一時曇
2023/1/12,6.0,-3.0,0.7,0.0,0.0,81.0,快晴,快晴
2023/1/13,7.6,-4.6,2.6,0.0,0.0,83.0,曇,曇後時々雨
2023/1/14,5.4,-2.8,1.5,0.5,0.0,72.0,曇時々雪一時雨、あられを伴う,曇
2023/1/15,-2.8,-6.4,-4.7,0.5,2.0,58.0,曇,雪一時曇
2023/1/16,-2.4,-6.4,-4.6,18.5,30.0,89.0,雪,雪後一時晴
2023/1/17,-2.2,-9.6,-5.5,0.5,0.0,68.0,晴後時々雪一時曇,曇一時雪後時々晴
2023/1/18,0.3,-7.3,-4.5,2.0,5.0,69.0,晴後時々雪,雪時々曇
2023/1/19,-1.4,-7.4,-4.4,1.0,4.0,76.0,晴一時雪,雪一時曇
2023/1/20,1.7,-3.2,-0.9,6.0,9.0,72.0,晴一時雪後曇,雪後時々曇
2023/1/21,-2.8,-8.7,-5.7,8.0,13.0,71.0,雪一時晴,晴後時々雪
2023/1/22,-3.0,-8.3,-5.8,0.0,0.0,56.0,晴時々雪,雪時々晴
2023/1/23,-3.8,-8.5,-5.9,3.5,5.0,64.0,曇一時晴,雪後晴時々曇
2023/1/24,-5.1,-12.4,-8.5,2.5,3.0,67.0,雪時々曇後一時晴,晴後曇一時雪
2023/1/25,-8.9,-12.8,-11.0,4.0,4.0,59.0,雪一時晴後一時曇、ふぶきを伴う,雪一時曇
2023/1/26,-4.6,-10.2,-7.1,1.0,0.0,57.0,晴後一時雪,晴時々雪
2023/1/27,-2.2,-10.1,-6.1,0.0,1.0,70.0,晴一時曇,晴一時曇
2023/1/28,-3.1,-10.6,-7.5,0.0,1.0,62.0,晴後薄曇一時雪,曇時々雪後一時晴
2023/1/29,-4.2,-11.6,-8.0,0.0,0.0,52.0,晴,快晴
2023/1/30,-0.8,-13.2,-6.9,0.0,0.0,67.0,晴後曇一時雪,晴時々雪
2023/1/31,-3.1,-10.0,-6.1,0.0,0.0,66.0,晴一時雪,晴一時曇
2023/2/1,0.0,-9.0,-4.1,9.5,10.0,81.0,曇時々晴後雪,雪、大風を伴う
2023/2/2,-1.4,-7.8,-5.1,8.5,11.0,71.0,雪一時晴,雪後晴
2023/2/3,-3.0,-8.3,-5.4,0.0,0.0,60.0,晴後時々曇,曇一時雪
2023/2/4,-1.9,-7.8,-4.8,0.5,1.0,70.0,晴時々雪,晴
2023/2/5,0.1,-8.7,-3.6,2.5,6.0,70.0,曇時々晴一時雪,雪
2023/2/6,1.7,-4.0,-0.9,4.5,5.0,76.0,曇時々雪一時晴,雪後晴一時曇
2023/2/7,1.5,-6.4,-2.5,0.0,0.0,64.0,晴一時雪,晴後時々薄曇
2023/2/8,-0.5,-8.3,-4.7,0.0,0.0,68.0,曇時々雪,晴後雪
2023/2/9,-3.5,-6.8,-5.4,9.5,13.0,72.0,雪一時曇,雪一時曇
2023/2/10,-2.1,-8.1,-4.8,0.5,1.0,75.0,曇,曇時々晴一時雪
2023/2/11,1.2,-6.8,-2.2,0.0,0.0,81.0,雪時々曇一時晴,雪時々曇
2023/2/12,3.3,-1.3,0.4,1.5,5.0,82.0,雪後時々曇,雪
2023/2/13,0.9,-3.5,-1.8,8.5,13.0,86.0,雪一時曇,雪後一時晴
2023/2/14,-0.6,-9.3,-4.7,5.0,7.0,73.0,晴後雪,曇時々雪
2023/2/15,-6.4,-10.5,-8.3,7.5,10.0,75.0,雪,雪後一時晴
2023/2/16,-0.2,-8.6,-4.3,2.5,6.0,74.0,晴後曇一時雪,雪後晴
2023/2/17,3.6,-6.0,-0.3,0.0,0.0,79.0,雪時々曇一時みぞれ,雪一時曇後晴
2023/2/18,5.7,-2.8,2.2,0.5,1.0,69.0,晴一時雪後曇,曇時々雪
2023/2/19,2.2,-2.2,-0.1,3.5,10.0,86.0,雪時々曇,雪
2023/2/20,-0.5,-5.8,-2.4,13.5,13.0,81.0,雪一時ふぶき後一時晴、あられを伴う,雪後晴
2023/2/21,-3.0,-9.1,-5.7,3.5,6.0,70.0,晴後一時雪,雪時々曇
2023/2/22,0.7,-7.9,-2.8,1.0,2.0,71.0,雪後晴一時曇,雪一時曇
2023/2/23,2.9,-4.0,-0.2,3.5,4.0,86.0,雪一時曇,晴一時雪
2023/2/24,2.9,-5.6,-1.5,0.5,3.0,76.0,晴後雪,曇一時晴後時々雪
2023/2/25,0.7,-5.9,-2.1,6.5,11.0,81.0,雪一時晴,晴一時雪
2023/2/26,-0.9,-6.7,-4.1,10.5,13.0,78.0,雪時々あられ、ふぶきを伴う,雪一時あられ後一時晴
2023/2/27,3.6,-8.1,-1.5,0.5,0.0,72.0,晴,快晴
2023/2/28,11.2,-4.7,4.8,0.0,0.0,63.0,晴一時薄曇,晴後曇時々雨
2023/3/1,6.8,1.3,3.3,0.5,0.0,72.0,曇時々雨一時みぞれ,曇一時雪
2023/3/2,3.0,-1.6,0.5,0.5,3.0,71.0,晴一時曇後一時雪、あられを伴う,晴一時雪
