年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2021/1/1,10.5,-1.3,4.4,0.0,0.0,40.0,快晴,快晴
2021/1/2,10.8,0.1,4.8,0.0,0.0,53.0,快晴,晴
2021/1/3,8.4,-0.4,3.7,0.0,0.0,52.0,晴,薄曇
2021/1/4,11.4,1.3,5.8,0.0,0.0,52.0,晴一時曇,晴後一時薄曇
2021/1/5,10.0,2.5,6.0,0.0,0.0,67.0,曇,曇
2021/1/6,6.8,3.9,5.3,0.0,0.0,73.0,曇,曇
2021/1/7,12.7,2.0,6.3,0.0,0.0,47.0,晴一時曇,晴一時曇
2021/1/8,6.5,-1.5,2.4,0.0,0.0,42.0,晴時々曇,晴
2021/1/9,8.4,-1.5,2.9,0.0,0.0,31.0,晴,快晴
2021/1/10,8.1,-2.4,2.6,0.0,0.0,44.0,快晴,曇後晴
2021/1/11,6.5,-1.3,2.3,0.0,0.0,47.0,曇,曇
2021/1/12,5.7,1.2,3.4,0.0,0.0,68.0,曇後雨一時みぞれ,曇後晴
2021/1/13,12.5,-0.5,5.8,0.0,0.0,64.0,快晴,晴
2021/1/14,14.5,0.9,7.9,0.0,0.0,55.0,快晴,晴後一時曇
2021/1/15,7.6,4.9,6.6,0.0,0.0,68.0,曇,曇後一時晴
2021/1/16,18.7,4.3,10.0,0.0,0.0,61.0,晴,薄曇一時晴
2021/1/17,8.0,4.1,6.1,0.0,0.0,52.0,曇,曇
2021/1/18,8.6,1.0,4.3,0.0,0.0,67.0,曇後晴,快晴
2021/1/19,9.5,1.0,4.4,0.0,0.0,40.0,快晴,快晴
2021/1/20,9.5,0.2,3.9,0.0,0.0,41.0,快晴,快晴
2021/1/21,10.7,-0.3,4.8,0.0,0.0,53.0,晴,晴時々薄曇
2021/1/22,16.0,1.2,8.7,0.0,0.0,48.0,晴後一時曇,曇
2021/1/23,10.2,2.7,6.4,19.0,0.0,85.0,雨一時曇,雨
2021/1/24,6.5,2.3,4.3,13.0,0.0,95.0,雨時々曇,雨時々曇後一時晴
2021/1/25,13.2,3.8,7.6,1.5,0.0,74.0,薄曇一時晴,晴
2021/1/26,11.2,2.7,7.5,0.0,0.0,73.0,曇一時晴,曇後雨
2021/1/27,16.2,6.4,10.3,1.0,0.0,68.0,曇後一時晴,曇時々晴
2021/1/28,7.9,0.9,4.4,9.0,0.0,78.0,曇後雨一時みぞれ,曇一時雨
2021/1/29,10.8,0.7,5.3,0.0,0.0,54.0,晴,快晴
2021/1/30,9.3,0.9,4.1,0.0,0.0,36.0,快晴,快晴
2021/1/31,11.9,-0.4,5.4,0.0,0.0,42.0,快晴,晴後曇
2021/2/1,14.0,1.8,7.2,0.0,0.0,57.0,曇時々晴、あられを伴う,晴時々曇後雨
2021/2/2,15.6,4.3,8.8,12.0,0.0,67.0,晴時々曇一時雨,晴一時曇
2021/2/3,11.8,1.0,6.2,0.0,0.0,42.0,晴,晴
2021/2/4,12.6,0.6,7.0,0.0,0.0,42.0,快晴,快晴
2021/2/5,12.4,1.9,7.1,0.0,0.0,53.0,晴一時薄曇,曇一時晴
2021/2/6,15.0,4.2,8.9,0.0,0.0,55.0,快晴,快晴
2021/2/7,16.3,4.4,9.9,0.0,0.0,49.0,晴後一時曇,晴
2021/2/8,11.0,2.8,6.1,0.0,0.0,41.0,曇時々晴,晴一時曇
2021/2/9,9.6,0.8,4.7,0.0,0.0,32.0,快晴,快晴
2021/2/10,12.1,1.7,6.7,0.0,0.0,48.0,晴後薄曇,晴一時薄曇
2021/2/11,14.1,3.3,8.7,0.0,0.0,44.0,晴後時々薄曇,薄曇
2021/2/12,11.7,3.4,7.8,0.0,0.0,56.0,薄曇,曇
2021/2/13,16.2,4.9,10.4,0.0,0.0,66.0,晴時々薄曇,晴時々曇
2021/2/14,18.2,6.8,12.3,0.0,0.0,64.0,晴時々曇,曇時々晴後一時雨
2021/2/15,14.1,8.3,11.4,76.5,0.0,91.0,大雨,快晴
2021/2/16,16.4,5.1,10.6,0.0,0.0,38.0,快晴,快晴
