年月日,平均気温(℃),最低気温(℃),最高気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2020/1/1,6.9,3.7,10.7,0.0,0.0,53.0,晴後一時曇,晴
2020/1/2,8.2,3.0,11.8,0.0,0.0,60.0,晴,晴一時曇
2020/1/3,10.3,6.6,13.5,0.0,0.0,54.0,晴一時曇,晴
2020/1/4,9.6,6.4,12.5,0.0,0.0,55.0,晴時々曇,晴
2020/1/5,7.0,5.3,10.3,0.0,0.0,59.0,晴時々曇一時みぞれ、あられを伴う,晴
2020/1/6,7.2,2.7,11.0,0.0,0.0,59.0,晴後曇,曇時々晴
2020/1/7,6.7,5.4,8.7,2.0,0.0,82.0,雨時々曇,曇後一時雨
2020/1/8,11.9,8.5,16.5,17.0,0.0,71.0,晴一時雨後時々曇,晴後曇
2020/1/9,10.9,8.8,13.4,0.0,0.0,60.0,晴一時曇,薄曇時々晴
2020/1/10,9.1,6.1,13.2,0.0,0.0,59.0,晴後一時曇,晴後薄曇
2020/1/11,7.9,4.2,12.3,0.0,0.0,69.0,薄曇後晴,晴後曇
2020/1/12,8.4,5.8,10.7,0.0,0.0,71.0,曇,曇後晴
2020/1/13,9.1,7.1,11.6,0.0,0.0,49.0,晴,晴
2020/1/14,7.4,4.0,11.0,1.0,0.0,61.0,晴後曇時々雨,雨時々曇一時晴
2020/1/15,7.1,5.7,9.2,1.0,0.0,71.0,曇一時晴後時々雨,晴一時曇
2020/1/16,6.5,3.2,10.0,0.0,0.0,70.0,曇一時晴,曇
2020/1/17,6.9,4.9,9.8,0.0,0.0,71.0,曇,曇時々雨
2020/1/18,8.0,5.1,12.0,0.5,0.0,61.0,晴一時曇,快晴
2020/1/19,8.0,3.2,10.9,0.0,0.0,59.0,晴後曇,晴一時曇
2020/1/20,9.8,7.7,12.7,0.0,0.0,51.0,晴時々曇,晴時々曇
2020/1/21,8.0,4.9,11.3,0.0,0.0,56.0,晴後一時曇,晴時々薄曇
2020/1/22,7.0,2.5,11.0,1.5,0.0,67.0,曇一時晴,雨
2020/1/23,9.4,6.7,11.7,27.0,0.0,92.0,曇時々雨,曇後一時晴
2020/1/24,11.1,8.5,14.5,0.0,0.0,78.0,曇,曇後一時晴
2020/1/25,8.0,6.3,10.8,0.0,0.0,56.0,曇時々晴,曇後雨
2020/1/26,8.8,5.8,12.5,1.5,0.0,61.0,曇,曇
2020/1/27,8.6,7.0,10.3,5.0,0.0,69.0,雨,曇時々晴一時雨
2020/1/28,13.0,9.1,19.1,0.0,0.0,69.0,晴後曇,曇後雨
2020/1/29,11.5,9.1,14.8,4.5,0.0,75.0,曇後一時晴,晴
2020/1/30,9.0,7.0,12.7,0.0,0.0,63.0,晴後一時曇,晴後一時曇
2020/1/31,6.6,5.3,8.8,0.0,0.0,56.0,曇一時雨後晴、あられを伴う,曇時々晴
2020/2/1,6.9,4.6,10.5,0.0,0.0,47.0,曇後晴,晴後時々曇
2020/2/2,7.7,3.2,11.9,0.0,0.0,57.0,晴一時曇,晴一時薄曇
2020/2/3,8.3,3.9,12.7,0.0,0.0,63.0,薄曇,晴一時薄曇
2020/2/4,7.8,4.2,11.4,0.0,0.0,45.0,晴,晴
2020/2/5,6.9,3.0,12.2,0.0,0.0,52.0,晴後時々曇,晴一時曇
2020/2/6,3.3,0.7,6.9,0.0,0.0,54.0,晴,晴後時々薄曇
2020/2/7,3.4,-0.1,6.9,0.0,0.0,56.0,曇,薄曇後時々晴
2020/2/8,6.6,2.9,11.0,0.0,0.0,60.0,晴時々曇,曇後晴
2020/2/9,4.1,1.9,7.4,0.0,0.0,53.0,晴一時曇,晴
2020/2/10,4.8,0.2,10.1,0.0,0.0,61.0,曇時々晴後一時雨,晴
2020/2/11,7.3,4.0,12.3,0.0,0.0,49.0,晴,曇
2020/2/12,8.9,3.9,14.6,2.0,0.0,65.0,晴後曇時々雨,雨時々曇
2020/2/13,13.5,9.5,18.3,5.0,0.0,79.0,晴一時雨,晴後時々薄曇
2020/2/14,11.7,9.5,14.0,2.5,0.0,84.0,曇後時々雨,晴後時々薄曇、霧を伴う
2020/2/15,10.3,7.4,13.4,0.0,0.0,85.0,曇,曇後雨
2020/2/16,11.7,9.8,15.2,17.0,0.0,90.0,雨,雨後曇一時晴
2020/2/17,8.0,4.1,11.1,0.0,0.0,51.0,晴一時曇,晴後一時曇
2020/2/18,5.5,3.1,9.4,0.0,0.0,58.0,晴後時々曇一時雨,晴後曇
2020/2/19,7.6,4.9,11.5,0.0,0.0,56.0,晴時々薄曇,晴後薄曇
2020/2/20,8.4,4.0,13.4,0.0,0.0,62.0,薄曇時々晴,快晴
2020/2/21,9.5,4.7,15.2,0.0,0.0,60.0,晴,晴後時々曇
2020/2/22,9.3,6.5,12.4,16.0,0.0,74.0,曇時々雨,晴一時曇
2020/2/23,9.1,5.9,12.0,0.0,0.0,48.0,晴時々曇,快晴
2020/2/24,8.7,2.8,13.5,0.0,0.0,52.0,晴,薄曇一時晴
2020/2/25,9.7,6.4,14.6,3.5,0.0,61.0,曇,雨時々曇
2020/2/26,10.2,7.8,13.5,8.0,0.0,72.0,曇,晴
2020/2/27,6.5,4.6,10.0,0.0,0.0,60.0,晴一時雨,曇時々晴
2020/2/28,7.4,4.9,10.0,0.0,0.0,48.0,晴後曇,曇一時雨
2020/2/29,7.6,6.9,9.3,10.0,0.0,78.0,雨時々曇,雨後曇一時晴
2020/3/1,10.3,6.6,14.7,0.0,0.0,70.0,曇一時晴,曇一時雨
2020/3/2,11.7,8.9,15.8,0.0,0.0,58.0,晴,晴一時曇
2020/3/3,10.4,8.0,15.1,0.0,0.0,54.0,晴一時曇,晴後曇
2020/3/4,8.8,7.8,9.8,14.5,0.0,82.0,雨一時曇,曇時々雨一時晴
2020/3/5,7.4,5.3,10.5,0.5,0.0,62.0,晴時々曇一時雨,晴
2020/3/6,8.2,5.0,13.2,0.0,0.0,48.0,晴,晴後薄曇
2020/3/7,9.4,3.6,16.2,0.0,0.0,51.0,曇一時晴,雨時々曇
2020/3/8,10.4,8.6,13.3,8.5,0.0,77.0,雨後曇一時晴,快晴
2020/3/9,13.0,6.4,18.9,0.0,0.0,64.0,晴後薄曇,曇後時々雨
2020/3/10,14.5,12.8,16.9,18.0,0.0,85.0,雨後時々曇,曇後時々晴
2020/3/11,12.5,8.6,16.2,0.0,0.0,60.0,晴時々曇,晴
2020/3/12,10.7,7.1,15.0,0.0,0.0,44.0,晴,晴一時薄曇
2020/3/13,11.7,6.1,16.6,0.0,0.0,52.0,薄曇後時々晴,曇時々晴一時雨
2020/3/14,8.9,7.0,11.1,13.0,0.0,73.0,雨後時々曇,曇一時雨
2020/3/15,8.6,5.7,11.9,1.0,0.0,57.0,晴後一時曇,晴後雨時々曇
2020/3/16,6.4,4.2,10.5,2.0,0.0,59.0,晴時々雨一時曇、あられを伴う,快晴
2020/3/17,8.8,2.1,13.8,0.0,0.0,58.0,晴一時薄曇,晴後時々曇
2020/3/18,13.6,9.6,18.1,0.0,0.0,56.0,晴時々曇,晴一時薄曇
2020/3/19,15.6,8.5,22.0,0.0,0.0,65.0,晴後時々曇,晴時々曇
2020/3/20,12.8,10.1,16.9,0.0,0.0,40.0,晴,快晴
2020/3/21,13.6,7.7,18.4,0.0,0.0,52.0,晴,晴後薄曇
2020/3/22,14.9,10.4,19.9,0.0,0.0,61.0,曇,曇後晴
2020/3/23,12.3,9.3,17.0,0.0,0.0,49.0,晴,快晴
2020/3/24,10.1,7.7,14.2,0.0,0.0,42.0,晴,快晴
2020/3/25,11.0,5.9,16.3,0.0,0.0,47.0,快晴,晴後薄曇
2020/3/26,14.3,7.5,20.7,0.0,0.0,52.0,薄曇,曇後雨
2020/3/27,15.8,13.3,18.2,17.5,0.0,92.0,雨,雨時々曇
2020/3/28,12.5,8.5,17.8,14.0,0.0,84.0,曇一時雨,雨
2020/3/29,9.1,6.8,12.4,12.0,0.0,69.0,曇一時雨,晴後曇
2020/3/30,10.3,8.1,12.8,0.0,0.0,68.0,曇後雨,曇一時雨
2020/3/31,14.7,10.9,19.4,0.0,0.0,71.0,曇一時雨,曇時々雨
2020/4/1,14.1,11.1,16.6,31.5,0.0,82.0,雨,曇一時雨
2020/4/2,11.8,9.3,15.1,0.0,0.0,56.0,晴時々曇,晴
2020/4/3,12.2,6.2,17.7,0.0,0.0,50.0,薄曇,薄曇後時々晴
2020/4/4,14.7,9.8,20.8,0.0,0.0,55.0,快晴,晴後曇
2020/4/5,10.5,7.8,14.1,0.0,0.0,47.0,晴,晴一時曇
2020/4/6,11.2,8.1,15.6,0.0,0.0,45.0,晴,晴時々薄曇
