年月日,平均気温(℃),最低気温(℃),最高気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2019/1/1,-1.9,-3.1,-0.5,1.0,4.0,73.0,雪時々曇,曇後晴
2019/1/2,-4.1,-7.0,-0.6,0.0,0.0,68.0,曇時々晴一時雪,晴一時曇
2019/1/3,-3.3,-8.1,-0.8,0.0,0.0,66.0,雪時々曇,曇
2019/1/4,-0.2,-2.6,2.9,0.5,1.0,63.0,曇後時々晴,雪時々曇
2019/1/5,-2.2,-3.7,-0.3,5.5,13.0,77.0,雪時々曇一時晴,雪時々曇
2019/1/6,-3.0,-4.8,-1.2,3.5,7.0,68.0,晴後曇時々雪,雪一時曇、あられを伴う
2019/1/7,-4.8,-6.9,-3.1,3.5,3.0,74.0,曇時々雪、あられを伴う,晴時々曇
2019/1/8,-3.5,-7.0,0.3,0.0,0.0,68.0,曇時々雪一時晴,曇後雪
2019/1/9,-2.0,-4.7,0.7,3.0,6.0,63.0,曇時々雪後晴、あられを伴う,曇時々雪一時晴
2019/1/10,0.5,-2.4,4.1,2.0,4.0,60.0,晴一時曇,雪
2019/1/11,-3.6,-5.9,-1.8,15.0,20.0,77.0,雪後一時曇,曇一時雪
2019/1/12,-2.4,-5.1,-0.2,0.5,0.0,70.0,雪時々曇,曇時々雪
2019/1/13,-5.1,-7.5,-2.3,0.0,0.0,66.0,晴一時雪,晴一時雪
2019/1/14,-5.0,-8.7,-1.9,0.0,0.0,70.0,晴,晴
2019/1/15,0.1,-4.7,3.5,3.5,0.0,79.0,曇後みぞれ,雪時々みぞれ一時雨
2019/1/16,-3.0,-4.4,0.2,2.0,7.0,68.0,晴時々雪,雪
2019/1/17,-7.9,-12.3,-3.9,6.0,5.0,74.0,雪,雪時々曇
2019/1/18,-5.0,-9.2,-2.0,6.0,9.0,72.0,雪後一時曇,雪後時々曇
2019/1/19,-1.8,-3.8,1.1,0.0,0.0,58.0,晴一時曇,晴後曇
2019/1/20,-2.4,-5.1,1.3,1.0,2.0,74.0,曇後雪,晴時々雪
2019/1/21,-5.2,-7.5,-2.8,0.5,1.0,57.0,雪後晴,晴後時々曇
2019/1/22,-4.3,-7.7,-1.4,0.0,0.0,60.0,晴,晴後一時曇
2019/1/23,-2.3,-6.7,1.5,4.5,12.0,78.0,薄曇後雪,曇時々雪後一時晴
2019/1/24,-1.9,-4.6,-0.5,4.0,1.0,77.0,雪一時曇、あられを伴う,雪一時曇、あられを伴う
2019/1/25,-1.6,-2.6,-0.7,13.0,13.0,87.0,雪一時曇、あられを伴う,雪時々曇
2019/1/26,-2.8,-4.4,-0.6,2.5,3.0,79.0,曇一時雪,曇時々雪
2019/1/27,-4.3,-6.8,-1.7,0.0,1.0,69.0,曇後晴時々雪,晴後時々曇
2019/1/28,-0.6,-6.3,2.1,1.5,1.0,75.0,曇後雪,晴時々曇後雪
2019/1/29,-1.5,-4.3,0.0,2.0,2.0,74.0,雪後曇一時晴,曇一時雪
2019/1/30,-2.1,-7.0,1.6,0.5,0.0,69.0,晴,雪一時晴
2019/1/31,-4.4,-7.2,0.8,4.5,10.0,65.0,晴時々雪一時曇,晴後時々雪
2019/2/1,-7.0,-8.4,-5.0,0.5,1.0,56.0,雪時々曇一時晴,雪一時曇
2019/2/2,-5.0,-6.9,-1.5,1.5,1.0,58.0,曇時々雪一時晴,晴一時曇
2019/2/3,0.1,-4.1,3.3,0.0,0.0,57.0,晴後曇,曇後みぞれ
2019/2/4,-1.7,-6.9,2.4,2.5,2.0,75.0,雪一時雨、みぞれを伴う,晴時々雪
2019/2/5,-4.7,-7.5,-1.9,1.0,3.0,66.0,晴後雪時々曇,曇一時雪
2019/2/6,-4.1,-5.3,-2.2,6.0,14.0,86.0,雪,雪後一時曇
2019/2/7,-5.9,-10.3,-4.1,7.0,11.0,80.0,雪時々曇後一時晴,雪一時曇
2019/2/8,-11.5,-12.5,-10.1,0.0,0.0,56.0,雪後晴,雪後晴
2019/2/9,-8.8,-13.1,-5.5,0.5,0.0,60.0,曇時々晴一時雪,晴後雪時々曇
2019/2/10,-6.0,-8.8,-2.8,0.0,0.0,59.0,晴時々曇一時雪,晴後曇一時雪
2019/2/11,-5.0,-7.4,-2.5,0.0,0.0,54.0,晴一時曇,曇後時々雪
2019/2/12,-6.0,-9.0,-3.7,1.0,2.0,65.0,晴時々雪,曇一時雪
2019/2/13,-6.1,-7.9,-3.5,0.5,2.0,63.0,晴時々雪,雪時々曇
2019/2/14,-5.0,-7.3,-1.8,4.0,5.0,66.0,曇時々雪一時晴,雪時々曇後晴
2019/2/15,-2.1,-5.4,0.4,0.0,0.0,58.0,晴後曇一時雪,曇一時雪
2019/2/16,-2.0,-4.7,0.7,0.5,0.0,68.0,雪時々曇一時晴,曇後一時雪
2019/2/17,-1.3,-3.7,-0.2,0.0,0.0,72.0,雪後時々曇,曇後時々雪
2019/2/18,0.2,-3.6,2.4,0.5,1.0,55.0,晴一時雪,晴後一時薄曇
2019/2/19,0.8,-5.5,5.1,0.0,0.0,69.0,曇,曇後雪一時雨
2019/2/20,1.6,0.5,3.1,1.5,1.0,88.0,曇一時雪,みぞれ時々曇一時晴
2019/2/21,1.1,-2.0,3.4,1.5,2.0,70.0,晴一時みぞれ,晴後一時曇
2019/2/22,1.8,-2.1,6.5,0.0,0.0,58.0,晴,晴一時雪
2019/2/23,-0.8,-2.9,1.1,1.5,3.0,71.0,雪時々曇,曇時々雪一時晴
2019/2/24,1.8,-5.7,8.1,0.0,0.0,54.0,薄曇,曇時々晴
2019/2/25,2.1,-1.8,5.5,1.5,3.0,67.0,曇時々晴一時みぞれ,雪時々晴一時曇
2019/2/26,-0.7,-2.5,2.6,1.0,1.0,68.0,曇時々晴一時雪,晴時々曇一時雪
2019/2/27,1.0,-2.3,4.1,0.0,0.0,47.0,晴一時曇,晴後一時曇
2019/2/28,1.3,-3.4,5.4,0.0,0.0,61.0,薄曇後晴,晴後曇
2019/3/1,2.5,-2.1,6.4,0.0,0.0,60.0,晴後一時みぞれ,曇時々晴一時雪
2019/3/2,0.9,-2.4,3.7,0.0,1.0,57.0,曇一時雪,晴一時曇
2019/3/3,1.7,-4.1,7.0,0.0,0.0,63.0,晴,曇一時雪
2019/3/4,2.2,0.2,5.2,0.0,0.0,76.0,曇後晴,晴
2019/3/5,2.0,-0.1,4.4,0.0,0.0,67.0,晴,晴後曇
2019/3/6,3.5,0.0,8.3,0.0,0.0,73.0,曇一時雨,曇一時雨後晴
2019/3/7,0.1,-2.9,3.2,0.0,0.0,54.0,快晴,晴時々曇一時雪
2019/3/8,0.3,-4.0,4.5,0.0,1.0,56.0,曇時々晴,快晴
2019/3/9,5.8,-2.2,10.5,0.5,0.0,55.0,晴後曇時々雨,曇後晴
2019/3/10,4.3,1.4,7.3,0.0,0.0,62.0,晴,薄曇一時晴
2019/3/11,3.9,0.6,6.3,0.0,0.0,62.0,曇一時雨,雨一時曇、みぞれを伴う
2019/3/12,3.0,0.9,5.6,3.0,0.0,83.0,曇後一時みぞれ,みぞれ後時々曇
2019/3/13,2.0,0.6,3.4,3.0,0.0,76.0,曇後時々雪、みぞれを伴う,曇一時みぞれ後晴
2019/3/14,0.8,-3.0,4.2,2.5,3.0,62.0,晴時々曇後一時雪,雪時々曇、あられを伴う
2019/3/15,2.0,0.0,4.9,1.0,1.0,71.0,曇時々雪一時みぞれ,曇後雪
2019/3/16,1.2,-0.5,3.3,6.5,8.0,87.0,雪時々みぞれ一時雨,曇時々雪一時晴
2019/3/17,1.7,-1.1,4.4,0.0,0.0,73.0,晴時々雪一時曇,晴
2019/3/18,5.0,-1.8,9.6,0.0,0.0,50.0,晴後一時曇,晴
2019/3/19,8.4,4.7,13.7,0.0,0.0,65.0,晴,快晴
