年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2023/1/1,13.0,0.9,6.6,0.0,0.0,62.0,快晴,快晴
2023/1/2,12.1,2.0,6.2,0.0,0.0,51.0,晴,晴一時曇
2023/1/3,11.0,0.5,5.8,0.0,0.0,42.0,快晴,快晴
2023/1/4,11.0,1.3,5.6,0.0,0.0,47.0,晴,快晴
2023/1/5,10.6,2.6,5.9,0.0,0.0,36.0,快晴,晴
2023/1/6,9.9,0.0,5.3,0.0,0.0,47.0,薄曇時々晴,曇
2023/1/7,10.4,3.0,6.0,0.0,0.0,59.0,晴,晴
2023/1/8,12.5,1.6,7.0,0.0,0.0,58.0,快晴,晴時々曇
2023/1/9,13.9,2.4,8.0,0.0,0.0,61.0,快晴,晴
2023/1/10,9.9,2.8,6.3,0.0,0.0,42.0,快晴,快晴
2023/1/11,10.7,1.5,5.4,0.0,0.0,52.0,晴一時曇,快晴
2023/1/12,12.6,1.3,6.1,0.0,0.0,52.0,晴時々薄曇,快晴
2023/1/13,14.0,3.1,8.7,0.0,0.0,60.0,晴後薄曇,曇時々雨後晴
2023/1/14,14.2,7.1,9.5,1.5,0.0,81.0,曇時々雨,曇
2023/1/15,12.0,7.6,10.3,3.0,0.0,84.0,曇後雨,雨後一時曇
2023/1/16,7.7,3.6,6.3,8.0,0.0,90.0,雨一時曇,曇後晴
2023/1/17,7.6,2.1,4.7,1.5,0.0,65.0,曇一時晴,曇時々雨
2023/1/18,12.4,3.8,7.3,0.0,0.0,64.0,曇時々晴,晴時々曇
2023/1/19,9.1,2.7,6.3,0.0,0.0,61.0,晴後曇,曇時々雨
2023/1/20,12.3,3.9,7.6,0.5,0.0,63.0,晴,快晴
2023/1/21,9.0,3.2,5.6,0.0,0.0,37.0,晴一時薄曇,曇一時晴
2023/1/22,8.9,1.7,4.9,0.0,0.0,51.0,薄曇一時晴,薄曇後一時雨
2023/1/23,6.1,2.8,4.5,0.5,0.0,77.0,雨後曇,曇
2023/1/24,11.8,-0.8,4.7,0.5,0.0,61.0,薄曇時々雨後一時晴,曇後晴
2023/1/25,3.7,-2.9,-0.3,0.0,0.0,30.0,晴,快晴
2023/1/26,8.5,-3.4,3.0,0.0,0.0,44.0,晴後一時薄曇,曇一時晴
2023/1/27,6.6,1.5,3.8,0.0,0.0,59.0,曇後一時雨,曇時々雨後晴
2023/1/28,8.3,0.4,3.7,0.0,0.0,37.0,晴後一時曇,晴
2023/1/29,8.8,-1.6,3.4,0.0,0.0,50.0,快晴,快晴
2023/1/30,10.0,-0.7,4.2,0.0,0.0,53.0,晴後一時曇,晴
2023/1/31,9.0,1.3,4.6,0.0,0.0,38.0,晴後時々曇,晴時々曇
2023/2/1,13.1,-0.7,6.8,0.0,0.0,47.0,晴一時薄曇,晴後一時薄曇
2023/2/2,9.2,4.7,6.4,0.0,0.0,36.0,薄曇一時晴,曇
2023/2/3,6.2,3.2,4.8,0.0,0.0,47.0,曇,曇時々晴
2023/2/4,11.2,2.2,6.5,0.0,0.0,58.0,晴時々曇,快晴
2023/2/5,12.0,1.4,6.8,0.0,0.0,55.0,晴,快晴
2023/2/6,13.6,3.2,7.8,0.0,0.0,56.0,晴後薄曇,薄曇一時晴
2023/2/7,15.4,6.7,10.5,0.0,0.0,63.0,曇,曇
2023/2/8,11.7,5.6,8.7,0.0,0.0,70.0,曇,晴一時雨
2023/2/9,10.6,2.3,6.2,0.0,0.0,39.0,晴後一時薄曇,晴後曇
2023/2/10,3.5,0.0,1.9,27.5,0.0,82.0,雪一時みぞれ後雨,雨一時曇後晴
2023/2/11,14.1,2.6,8.7,0.0,0.0,61.0,晴,曇
2023/2/12,16.9,4.9,11.0,0.0,0.0,65.0,薄曇時々晴,曇後時々雨
