"定点報告疾患 週報告分 年齢別集計表（個別データ）"
"東京都"
"疾病","インフルエンザ"
"集計期間開始週","2021年1週"
"集計期間終了週","2023年52週"
"性別","男性"

"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"年","週","～5ヶ月","～1歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10～14歳","15～19歳","20～29歳","30～39歳","40～49歳","50～59歳","60～69歳","70～79歳","80歳以上","合計","定点数"
"2021","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","397"
"2021","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2021","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2021","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","410"
"2021","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2021","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","411"
"2021","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2021","46","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","412"
"2021","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","50","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","412"
"2021","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","411"
"2021","52","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","399"
"2022","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2","404"
"2022","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","411"
"2022","3","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","3","403"
"2022","4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","407"
"2022","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402"
"2022","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408"
"2022","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408"
"2022","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2022","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","407"
"2022","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","409"
"2022","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403"
"2022","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2022","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2022","14","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","404"
"2022","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2022","16","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","409"
"2022","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400"
"2022","18","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","410"
"2022","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2022","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2022","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2022","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2022","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","411"
"2022","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2022","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2022","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2022","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2022","28","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","405"
"2022","29","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","410"
"2022","30","0","0","0","0","0","0","0","0","0","0","0","1","1","6","0","1","0","0","0","0","9","406"
"2022","31","0","0","0","0","0","0","0","0","0","0","0","1","2","10","0","0","0","0","0","0","13","405"
"2022","32","0","0","1","0","0","0","0","0","0","0","0","0","0","3","2","1","0","1","0","0","8","380"
"2022","33","0","0","0","0","0","1","0","0","0","0","1","0","0","1","2","0","0","0","0","0","5","399"
"2022","34","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","3","409"
"2022","35","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","6","411"
"2022","36","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","411"
"2022","37","0","0","0","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","5","412"
"2022","38","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","4","414"
"2022","39","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","410"
"2022","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2022","41","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","411"
"2022","42","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","413"
"2022","43","0","0","0","0","0","0","0","1","0","0","2","1","1","0","0","2","0","0","0","0","7","412"
"2022","44","0","0","0","0","2","1","2","2","2","2","1","2","1","1","0","0","1","0","0","0","17","410"
"2022","45","0","0","2","0","1","2","4","5","10","6","6","1","3","4","0","0","0","0","0","0","44","411"
"2022","46","0","0","1","1","2","12","7","4","6","1","2","18","9","18","2","0","0","0","0","0","83","412"
"2022","47","0","1","0","0","2","4","4","2","4","2","1","4","4","8","0","3","0","0","0","0","39","411"
"2022","48","0","0","4","1","0","0","2","1","5","6","3","20","5","10","3","0","1","0","0","1","62","410"
"2022","49","0","1","3","2","3","8","9","7","2","3","6","17","18","18","8","3","3","1","0","0","112","409"
"2022","50","1","1","4","12","12","17","16","8","7","10","9","43","43","47","17","16","6","3","1","0","273","411"
"2022","51","0","7","11","16","17","32","33","36","26","24","19","95","57","108","28","17","10","4","2","2","544","412"
"2022","52","1","1","11","20","19","35","35","40","35","32","26","86","70","103","49","25","18","5","6","3","620","387"
"2023","1","0","6","30","26","28","31","39","29","27","26","29","108","72","181","70","43","31","10","4","2","792","409"
"2023","2","3","7","26","46","51","71","86","77","80","69","40","215","102","147","67","40","27","15","5","1","1175","410"
"2023","3","3","10","31","59","96","150","205","192","162","123","121","365","110","80","56","86","27","12","6","1","1895","414"
"2023","4","7","15","52","66","98","190","195","222","185","131","111","424","111","41","63","61","21","8","4","3","2008","414"
"2023","5","6","8","45","66","82","178","246","231","177","160","145","487","70","47","54","55","22","9","4","1","2093","413"
"2023","6","4","8","47","59","102","185","219","240","181","149","160","480","71","47","67","84","29","7","3","1","2143","413"
"2023","7","5","15","56","83","99","176","211","245","205","178","176","460","76","41","82","77","18","7","5","3","2218","412"
"2023","8","5","6","55","68","101","156","178","193","156","161","126","385","72","43","61","62","21","4","3","2","1858","410"
"2023","9","2","5","53","52","94","137","201","199","183","128","101","375","89","70","64","56","22","3","4","4","1842","413"
"2023","10","4","18","50","82","94","177","206","226","191","188","152","490","94","37","83","79","24","9","3","1","2208","412"
"2023","11","3","17","45","63","99","130","149","171","149","123","124","350","62","33","61","61","26","8","3","0","1677","408"
"2023","12","4","11","28","51","64","91","89","112","75","79","65","182","67","31","47","61","24","5","2","0","1088","413"
"2023","13","1","8","22","41","50","61","73","84","48","51","44","126","36","33","49","38","17","5","2","3","792","415"
"2023","14","0","4","21","28","32","48","54","52","38","21","24","62","31","10","22","37","7","7","4","0","502","411"
"2023","15","4","4","14","21","29","35","46","32","28","22","11","55","41","14","16","24","7","4","0","0","407","413"
"2023","16","1","3","10","9","26","33","51","38","35","35","21","58","40","13","12","10","6","3","2","1","407","412"
"2023","17","2","4","7","13","13","17","22","17","33","22","28","60","29","12","4","12","11","5","1","2","314","413"
"2023","18","0","1","8","8","9","10","16","24","36","24","7","50","22","4","6","10","3","1","0","1","240","410"
"2023","19","1","1","5","4","10","10","17","17","22","15","12","38","32","11","5","6","2","6","3","0","217","415"
"2023","20","0","5","8","11","16","25","23","46","47","35","30","100","44","14","12","10","8","1","2","1","438","416"
"2023","21","1","1","6","4","10","23","27","45","38","44","23","92","36","11","5","22","6","1","2","0","397","416"
"2023","22","0","1","10","6","13","17","31","31","30","47","31","75","28","7","13","17","5","0","1","0","363","417"
"2023","23","0","2","9","6","17","23","35","31","35","25","22","100","24","8","11","15","5","3","1","0","372","415"
"2023","24","1","2","12","9","14","12","21","32","18","19","21","68","24","6","8","19","7","11","1","0","305","414"
"2023","25","0","0","4","3","3","8","11","16","24","18","22","54","24","6","7","11","6","4","2","0","223","414"
"2023","26","2","2","6","6","8","7","18","13","24","21","16","39","17","3","4","5","5","1","2","2","201","415"
"2023","27","1","3","5","6","12","9","19","15","35","18","16","47","16","8","14","15","9","6","0","1","255","416"
"2023","28","0","2","8","13","16","10","23","16","29","25","19","54","12","6","10","23","6","2","2","1","277","415"
"2023","29","1","1","4","4","7","11","22","17","22","16","20","61","13","10","10","14","6","3","1","1","244","417"
"2023","30","0","4","9","15","13","15","16","31","24","15","11","37","19","13","13","17","5","4","2","0","263","416"
"2023","31","2","3","4","7","12","19","35","33","22","13","15","35","12","8","7","15","3","2","1","0","248","413"
"2023","32","1","1","5","6","7","12","18","23","21","13","11","33","12","18","6","16","8","2","0","0","213","397"
"2023","33","0","1","8","8","6","7","12","12","10","7","13","25","16","19","20","13","9","2","2","1","191","401"
"2023","34","1","2","13","8","10","9","10","17","16","21","14","53","37","43","14","20","11","4","2","1","306","410"
"2023","35","0","2","17","15","20","33","31","41","48","41","36","92","83","58","27","42","63","6","3","3","661","415"
"2023","36","2","6","30","30","45","67","82","83","127","102","83","299","140","81","46","67","42","16","9","3","1360","417"
"2023","37","2","11","29","67","63","80","118","133","194","211","161","741","416","139","75","123","70","15","11","3","2662","417"
"2023","38","4","16","28","49","68","109","110","118","148","161","152","695","551","153","111","146","85","23","18","1","2746","415"
"2023","39","4","17","55","69","109","153","179","230","226","267","276","951","491","193","118","155","105","51","18","6","3673","417"
"2023","40","3","12","55","71","127","173","218","229","263","304","278","1013","350","166","123","181","98","35","18","2","3719","418"
"2023","41","6","18","65","81","111","154","198","189","263","259","223","952","309","138","131","199","107","50","16","4","3473","416"
"2023","42","6","28","77","87","151","187","235","258","354","372","385","1538","356","139","180","218","119","36","22","6","4754","416"
"2023","43","8","18","60","106","147","213","225","261","345","323","281","1256","316","167","159","225","105","55","24","7","4301","416"
"2023","44","8","18","82","75","127","169","193","218","266","290","236","1004","350","145","138","196","107","34","19","5","3680","417"
"2023","45","8","17","53","66","84","106","128","134","173","167","155","605","227","192","141","172","98","32","15","4","2577","417"
"2023","46","3","8","53","55","83","128","149","148","163","175","147","618","299","150","130","149","104","35","17","8","2622","415"
"2023","47","5","24","66","79","127","132","156","201","216","245","210","945","358","207","171","194","145","57","22","9","3569","414"
"2023","48","3","14","53","85","88","137","175","122","156","173","183","799","367","303","159","191","166","65","34","4","3277","415"
"2023","49","7","18","76","97","136","192","233","236","242","268","220","1053","436","335","226","266","196","88","33","9","4367","414"
"2023","50","8","29","105","102","159","196","244","226","261","223","239","953","372","341","262","293","222","87","21","9","4352","414"
"2023","51","12","23","89","96","126","164","182","195","211","238","211","886","308","308","223","244","202","88","31","18","3855","414"
"2023","52","13","22","78","108","113","145","150","165","239","238","197","819","363","359","255","287","195","82","45","16","3889","403"


"定点報告疾患 週報告分 年齢別集計表（個別データ）"
"東京都"
"疾病","インフルエンザ"
"集計期間開始週","2021年1週"
"集計期間終了週","2023年52週"
"性別","女性"

"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"年","週","～5ヶ月","～1歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10～14歳","15～19歳","20～29歳","30～39歳","40～49歳","50～59歳","60～69歳","70～79歳","80歳以上","合計","定点数"
"2021","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","404"
"2021","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","410"
"2021","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","409"
"2021","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","409"
"2021","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","406"
"2021","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408"
"2021","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","407"
"2021","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409"
"2021","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","412"
"2021","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2021","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2021","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2021","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","413"
"2021","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402"
"2021","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","404"
"2021","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","404"
