"年","週","～5ヶ月","～1歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10～14歳","15～19歳","20～29歳","30～39歳","40～49歳","50～59歳","60～69歳","70～79歳","80歳以上","合計","定点数"
"2023","4","14","28","92","135","194","341","385","403","324","233","207","709","152","102","207","176","46","18","16","8","3790","414"
"2023","5","12","15","82","131","162","320","483","458","337","286","267","819","121","102","181","179","49","20","6","3","4033","413"
"2023","6","9","21","81","141","202","342","414","438","320","269","274","769","134","91","209","217","51","12","9","5","4008","413"
"2023","7","9","27","88","157","193","328","373","442","388","319","318","763","114","98","216","226","45","15","14","5","4138","412"
"2023","8","12","18","90","128","181","282","338","339","298","284","222","647","97","94","194","182","61","18","8","6","3499","410"
"2023","9","4","10","92","103","163","249","374","365","338","226","193","631","128","129","202","172","37","17","7","9","3449","413"
"2023","10","4","31","99","147","207","312","404","444","368","325","286","843","141","85","264","235","56","27","9","4","4291","412"
"2023","11","6","25","85","114","176","242","282","289","263","217","209","588","114","82","200","182","54","18","9","3","3158","408"
"2023","12","7","17","53","96","107","166","178","219","168","157","131","309","103","73","145","147","43","19","5","1","2144","413"
"2023","13","2","18","55","79","96","117","134","143","81","94","72","214","56","62","115","95","29","14","6","5","1487","415"
"2023","14","1","9","38","56","61","93","99","83","58","41","43","108","50","35","64","78","15","13","8","0","953","411"
"2023","15","5","8","29","41","70","63","81","61","60","32","20","108","63","30","49","55","10","7","1","0","793","413"
"2023","16","2","5","16","26","36","55","87","78","73","59","35","93","56","27","40","33","17","8","8","2","756","412"
"2023","17","3","7","16","22","31","36","47","45","57","41","44","103","45","28","32","47","15","7","2","2","630","413"
"2023","18","1","4","11","12","21","33","32","46","61","39","17","79","30","14","24","25","3","2","0","1","455","410"
"2023","19","1","3","11","10","18","21","28","30","38","28","17","67","46","21","20","19","4","9","5","1","397","415"
"2023","20","0","9","18","23","32","42","54","79","78","71","58","178","60","22","48","41","16","4","4","1","838","416"
"2023","21","2","3","9","16","27","37","56","89","78","80","63","142","56","24","22","58","15","4","3","1","785","416"
"2023","22","2","2","15","13","29","33","62","60","61","88","54","119","52","25","39","39","8","2","3","0","706","417"
"2023","23","0","5","17","16","25","46","60","60","75","48","40","160","34","16","33","45","9","7","5","0","701","415"
"2023","24","1","2","14","16","20","26","37","56","40","46","39","110","36","10","26","40","12","15","3","1","550","414"
"2023","25","0","1","9","6","8","19","23","34","49","30","33","81","30","17","20","33","9","6","4","0","412","414"
"2023","26","2","2","11","12","13","16","26","27","40","39","30","65","28","9","16","25","7","6","4","4","382","415"
