"定点報告疾患 週報告分 年齢別集計表（個別データ）"
"東京都"
"疾病","インフルエンザ"
"集計期間開始週","2019年1週"
"集計期間終了週","2023年52週"
"性別","男性"

"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"年","週","～5ヶ月","～1歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10～14歳","15～19歳","20～29歳","30～39歳","40～49歳","50～59歳","60～69歳","70～79歳","80歳以上","合計","定点数"
"2019","39","0","1","11","4","15","14","22","8","23","11","14","32","8","3","8","17","7","5","2","1","206","414"
"2019","40","2","2","9","12","15","15","23","20","15","24","15","34","2","3","8","8","8","4","4","1","224","413"
"2019","41","1","6","5","7","13","20","6","22","29","23","14","35","7","5","5","7","4","2","2","0","213","409"
"2019","42","0","2","2","3","8","11","10","10","5","10","6","18","0","3","8","7","4","0","1","0","108","415"
"2019","43","0","2","6","8","8","7","13","17","16","15","4","19","5","7","11","5","1","3","1","0","148","416"
"2019","44","0","1","9","8","12","15","18","18","34","24","13","38","5","4","13","18","3","1","0","0","234","414"
"2019","45","1","1","5","4","6","10","17","18","24","19","14","49","5","13","9","33","5","1","0","0","234","415"
"2019","46","1","1","13","10","23","14","30","25","32","33","22","92","6","12","24","44","15","2","0","1","400","413"
"2019","47","1","8","20","21","29","39","41","47","67","63","34","85","25","21","23","57","21","5","5","2","614","410"
"2019","48","2","13","52","33","44","79","89","114","123","103","96","256","47","48","53","85","53","17","6","2","1315","414"
"2019","49","4","17","65","66","84","113","160","157","203","194","140","444","63","71","90","145","73","22","12","2","2125","415"
"2019","50","8","33","100","104","133","207","231","264","303","261","257","764","131","123","168","259","142","53","30","11","3582","416"
"2019","51","10","37","113","124","159","218","296","307","433","374","330","877","175","215","224","411","245","63","38","14","4663","416"
"2019","52","15","48","160","147","164","264","270","322","340","323","261","833","236","254","301","485","273","106","66","21","4889","415"
"2020","1","1","15","29","26","29","40","41","37","28","41","15","74","39","106","98","126","81","30","21","10","887","312"
"2020","2","17","41","146","138","152","152","189","141","102","80","82","278","149","246","275","381","254","105","52","20","3000","416"
"2020","3","11","31","112","81","123","146","154","108","106","109","100","369","140","147","181","252","143","67","35","16","2431","416"
"2020","4","12","41","89","86","117","142","188","156","191","183","153","575","145","141","151","230","137","46","24","10","2817","417"
"2020","5","6","25","72","61","105","152","159","186","202","142","149","462","120","81","105","141","106","41","19","7","2341","416"
"2020","6","7","9","32","36","61","84","110","129","138","140","114","279","56","50","67","77","37","12","8","10","1456","412"
"2020","7","1","9","20","31","47","81","96","110","156","148","93","267","49","46","44","56","27","8","4","2","1295","415"
"2020","8","0","3","25","30","36","63","72","95","134","90","89","274","54","33","33","36","20","4","5","1","1097","414"
"2020","9","0","3","21","21","25","48","40","53","97","59","74","195","27","21","34","20","8","1","0","2","749","416"
"2020","10","1","3","13","16","23","34","37","57","55","39","46","98","20","21","15","17","5","2","1","1","504","415"
"2020","11","1","0","5","6","6","21","17","18","20","16","16","20","10","8","11","6","1","0","0","1","183","416"
"2020","12","0","1","4","2","3","9","8","12","6","3","3","2","4","4","4","3","1","0","0","0","69","414"
"2020","13","0","1","1","1","6","1","2","9","0","1","1","4","1","4","4","3","1","0","1","0","41","414"
"2020","14","0","0","0","0","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","7","413"
"2020","15","0","0","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","6","409"
"2020","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2020","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2020","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402"
"2020","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2020","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2020","21","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","411"
"2020","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2020","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","414"
"2020","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2020","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","414"
"2020","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2020","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","393"
"2020","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","378"
"2020","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2020","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2020","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","404"
"2020","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410"
"2020","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2020","41","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","410"
"2020","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2020","43","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","406"
"2020","44","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","407"
"2020","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","410"
"2020","46","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","412"
"2020","47","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","407"
"2020","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","408"
"2020","49","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","3","408"
"2020","50","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","408"
"2020","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","412"
"2020","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","407"
"2020","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","387"
"2021","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","3","404"
"2021","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","410"
"2021","3","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","4","409"
"2021","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","409"
"2021","5","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","4","406"
"2021","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408"
"2021","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","407"
"2021","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411"
"2021","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","409"
"2021","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","412"
"2021","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","407"
"2021","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","410"
"2021","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412"
"2021","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","413"
"2021","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402"
"2021","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","404"
"2021","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","404"
"2021","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","403"
